wt34	wt35	AN1	AN2	CTR1	CTR2	LSC159	LSC177	LSCabb	LSCAN40	LSCAN55
GPR87	102	26	393	204	231	432	364	226	794	238	256
GPR88	0	0	0	0	0	0	0	0	0	0	0
GPR89A	166	82	216	134	86	113	13	12	14	8	12
GPR89B	125	55	85	70	46	73	9	7	14	6	8
GPRACR	0	0	0	0	0	0	0	0	0	0	0
GPRASP1	16	2	37	28	18	19	6	4	9	9	4
GPRASP2	415	186	273	164	156	152	32	20	89	28	41
GPRC5A	673	445	297	269	95	139	41	64	90	45	90
GPRC5B	0	0	7	0	0	0	0	0	2	1	1
GPRC5C	132	24	93	147	49	74	7	7	7	7	8
GPRC5D	9	7	5	0	0	1	0	0	0	0	0
GPRC5D-AS1	101	69	266	228	227	347	24	23	38	19	22
GPRC6A	1	0	0	0	0	0	0	0	0	0	0
GPRIN1	321	336	24	15	9	12	19	17	16	22	11
GPRIN2	3	2	8	3	1	1	0	0	0	0	0
GPRIN3	0	0	0	1	0	0	0	0	0	0	0
GPS1	1646	961	299	215	149	131	30	21	45	21	26
GPS2	18	4	2	1	1	0	3	2	2	3	8
GPSM1	430	119	12	34	20	6	31	10	35	14	17
GPSM2	6524	4438	763	557	680	885	857	586	1108	287	491
GPSM3	31	14	233	83	79	72	31	10	26	43	30
GPT	2	1	0	2	1	0	0	0	0	1	0
GPT2	2260	731	599	644	314	753	153	157	319	142	134
GPX2	24	22	230	101	116	279	42	26	49	11	13
GPX3	67	41	137	55	17	11	288	84	147	136	37
GPX4	4526	1658	603	734	465	367	77	40	188	76	45
GPX5	0	0	0	0	0	0	0	0	0	0	0
GPX6	0	0	0	0	0	0	0	0	0	0	0
GPX7	23	7	125	91	166	63	3	4	10	2	2
GPX8	2513	1367	3133	1948	1659	2858	279	253	449	198	299
GRAMD1A	329	165	140	148	109	88	91	73	125	69	76
GRAMD1B	1	1	0	3	7	1	1	0	1	1	1
GRAMD1C	178	79	136	35	71	59	9	7	24	6	15
GRAMD2A	1330	660	78	110	77	150	22	29	113	31	33
GRAMD2B	1181	860	1979	714	1374	1165	154	132	298	109	107
GRAMD4	477	292	307	105	168	180	39	28	123	45	37
GRAP	0	0	0	0	0	0	0	0	1	0	0
GRAP2	4	1	0	1	0	0	0	0	0	0	0
GRAPL	0	0	0	0	0	0	0	0	0	0	0
GRASP	0	1	4	1	3	0	1	0	1	1	0
GRB10	1213	367	375	514	228	221	24	57	114	59	70
GRB14	84	40	297	180	126	130	8	6	24	8	5
GRB2	1643	1014	1734	1709	1044	1107	600	444	900	364	628
GRB7	273	100	91	99	39	50	33	9	65	29	36
GREB1	16	6	2	3	1	4	0	0	2	0	0
GREB1L	499	292	25	4	11	8	25	3	18	8	31
GREM1	692	114	21	1584	2758	70	2	33	0	1	2
GREM2	1	0	0	0	0	0	0	0	0	0	0
GRHL1	835	188	563	859	632	609	20	20	77	15	16
GRHL2	2635	1420	508	235	197	407	118	76	174	54	117
GRHL3	391	106	464	482	600	621	38	36	163	44	10
GRHPR	2324	1032	2231	2230	1161	1572	129	83	193	90	113
GRIA1	1	0	4	1	5	2	2	1	1	1	1
GRIA2	0	0	0	0	0	0	0	1	0	0	0
GRIA3	0	0	0	7	9	0	0	0	0	0	0
GRIA4	7	1	0	2	0	2	0	0	0	0	0
GRID1	0	0	0	0	1	0	0	0	1	0	0
GRID1-AS1	0	0	0	0	0	0	0	0	0	0	0
GRID2	0	0	0	0	0	0	0	0	0	0	1
GRID2IP	7	1	1	1	2	0	0	0	0	0	0
GRIFIN	0	0	0	0	0	0	0	0	0	0	0
GRIK1	6	1	6	4	2	7	0	0	0	0	0
GRIK1-AS1	1	0	0	1	0	2	0	1	0	0	0
GRIK2	4	0	0	0	1	2	0	0	0	0	0
GRIK3	0	0	0	0	1	0	0	0	0	0	0
GRIK4	0	0	0	0	0	0	0	0	0	0	0
GRIK5	0	3	0	0	0	1	2	0	4	0	1
GRIN1	3	1	3	0	1	1	0	0	0	0	0
GRIN2A	0	0	0	1	1	0	0	0	3	2	1
GRIN2B	1	0	1	0	0	0	0	1	1	0	0
GRIN2C	3	1	1	2	0	0	0	1	0	1	1
GRIN2D	4	2	14	6	12	2	9	10	5	12	6
GRIN3A	42	15	7	3	0	1	0	0	0	0	0
GRIN3B	0	1	0	0	6	0	0	0	0	0	0
GRINA	480	234	227	356	159	87	376	97	417	215	370
GRIP1	204	63	118	114	75	146	30	20	51	21	10
GRIP2	0	0	0	1	0	0	2	1	1	2	2
GRIPAP1	549	311	227	255	145	151	68	42	96	46	43
GRK1	1	0	0	1	0	0	0	0	0	0	0
GRK2	1110	578	57	58	29	24	152	74	188	170	117
GRK3	533	314	310	267	143	151	111	89	204	90	101
GRK4	143	77	167	75	119	70	21	11	23	14	14
GRK5	86	76	273	96	109	70	52	23	44	39	36
GRK5-IT1	0	1	0	0	0	0	0	0	0	0	2
GRK6	1840	1054	298	169	110	152	67	43	89	55	78
GRK7	1	0	0	0	0	0	0	0	0	0	0
GRM1	1	0	0	0	0	1	0	0	0	1	0
GRM2	0	0	0	1	0	0	0	0	1	0	0
GRM3	0	0	1	0	0	0	0	0	0	0	1
GRM4	0	0	2	0	0	1	0	0	0	0	0
GRM5	1	0	0	0	0	0	0	2	0	0	0
GRM5-AS1	0	0	0	0	0	0	0	0	0	0	0
GRM6	1	0	2	0	0	5	0	0	1	0	0
GRM7	0	0	0	0	0	0	0	0	0	0	0
GRM7-AS1	0	0	0	0	0	0	0	0	0	0	0
GRM7-AS2	0	0	0	0	0	0	0	0	0	0	0
GRM7-AS3	0	0	0	0	1	0	2	0	2	2	0
GRM8	1	0	0	0	5	0	0	0	0	0	0
GRN	2448	1463	1678	1357	961	644	1239	913	1960	1212	1032
GRP	0	0	0	0	0	0	0	0	0	0	0
GRPEL1	3210	1540	1756	2171	1008	1103	231	211	358	158	319
GRPEL2	5556	2063	1215	1050	545	1226	152	152	319	112	234
GRPEL2-AS1	0	0	0	0	0	0	0	0	0	0	0
GRPR	0	0	3	0	0	3	0	1	0	0	0
GRSF1	6505	3593	5395	4090	2980	3926	574	509	1232	406	712
GRTP1	166	51	213	292	194	204	20	16	33	14	4
GRTP1-AS1	1	1	0	0	0	0	0	0	0	0	0
GRWD1	1124	1032	360	234	157	181	89	68	57	38	78
GRXCR1	0	0	0	0	0	0	0	0	0	0	0
GRXCR2	2	1	0	4	1	0	0	0	0	0	0
GSAP	632	223	204	306	190	211	19	15	53	17	22
GSC	0	0	0	0	0	0	0	0	0	0	0
GSC2	0	0	0	0	0	0	0	0	0	0	0
GSDMA	9	11	19	7	11	2	0	0	3	1	0
GSDMB	47	13	72	145	61	25	18	3	40	15	11
GSDMC	144	90	400	94	129	153	18	13	22	18	3
GSDMD	830	401	374	113	101	123	9	1	5	2	5
GSDME	3972	1779	3366	1983	1585	1797	425	214	691	264	303
GSE1	377	134	280	883	188	434	173	103	256	103	79
GSEC	191	71	340	231	244	324	10	18	25	7	21
GSG1	0	1	0	0	0	0	0	0	1	0	1
GSG1L	0	0	0	0	0	0	0	0	0	0	0
GSG1L2	0	0	0	0	0	0	0	0	0	0	0
GSK3A	86	39	269	229	153	140	234	192	369	155	268
GSK3B	4188	2305	2505	2166	1651	2327	1538	991	1915	991	1320
GSKIP	4200	1625	2501	3056	1492	1715	158	109	281	97	129
GSN	7607	3196	2157	1317	1737	1632	547	364	923	335	333
GSN-AS1	18	6	0	0	0	0	0	0	0	1	0
GSPT1	3703	2800	4780	3564	2724	3606	1011	1076	2256	780	1120
GSPT2	70	71	302	283	190	254	41	44	82	30	36
GSR	8938	4750	819	562	335	757	359	195	653	261	453
GSS	6192	1845	1869	1647	1112	1189	298	259	425	183	287
GSTA1	0	0	0	0	0	0	0	0	0	0	0
GSTA2	0	0	0	0	0	0	0	0	0	0	0
GSTA3	0	0	0	0	0	0	0	0	0	0	0
GSTA4	812	315	575	393	486	670	154	141	402	134	174
GSTA5	0	0	0	0	0	0	0	0	0	0	0
GSTCD	1476	1047	384	290	170	336	142	114	267	94	162
GSTK1	2707	1069	2450	1808	1618	1544	283	129	395	194	230
GSTM1	0	0	0	0	0	5	4	2	5	0	3
GSTM2	1	2	1	0	1	0	1	1	1	0	0
GSTM3	522	208	1032	807	327	377	83	1	84	23	24
GSTM4	73	34	130	164	40	113	108	64	86	3	59
GSTM5	0	0	0	7	11	0	0	0	0	0	0
GSTO1	6021	2642	20712	7999	12120	9825	649	339	531	294	499
GSTO2	1142	393	2172	2353	1574	2317	259	169	436	259	319
GSTP1	15828	8018	16155	17176	10482	8874	2015	1075	1658	1076	1225
GSTT2B	8	2	6	11	20	9	0	0	0	0	1
GSTT4	0	0	0	0	0	0	1	0	0	0	0
GSTZ1	1173	423	449	339	259	212	33	16	45	22	22
GSX1	0	0	0	0	0	0	0	0	0	0	0
GSX2	0	0	0	0	0	0	0	0	0	0	0
GTDC1	769	300	370	343	223	260	34	39	80	27	50
GTF2A1	1289	714	1366	1263	698	1103	263	251	593	144	359
GTF2A1L	0	0	0	0	1	0	0	0	0	0	0
GTF2A2	2278	1038	7644	6447	3702	5059	570	467	1052	443	770
GTF2B	1540	899	2381	1564	1516	1381	157	155	363	130	178
GTF2E1	1104	621	352	414	193	205	90	74	116	61	84
GTF2E2	4915	2107	1115	1577	716	732	284	206	543	188	354
GTF2F1	1074	714	704	570	415	419	106	133	195	108	89
GTF2F2	6536	2391	5228	5466	3603	4786	327	307	617	214	294
GTF2H1	5573	1879	1242	1202	727	1087	202	184	352	124	308
GTF2H2	171	97	988	377	153	478	37	13	36	12	48
GTF2H2C	361	167	47	59	33	53	5	1	6	6	7
GTF2H3	3717	1676	1609	1057	729	1527	357	361	791	361	469
GTF2H4	0	1	0	0	0	0	0	1	0	0	0
GTF2H5	1654	705	5838	4169	2524	3407	239	208	443	189	225
GTF2I	809	638	79	30	39	39	50	34	44	39	58
GTF2IRD1	458	156	465	534	260	364	112	83	147	80	95
GTF2IRD2	41	12	27	18	14	24	3	2	2	0	2
GTF2IRD2B	258	78	30	23	36	36	2	0	6	2	1
GTF3A	3845	1763	4898	4193	3234	4045	231	202	454	199	287
GTF3C1	1546	1619	201	143	121	108	270	117	199	144	173
GTF3C2	490	396	899	436	366	559	212	179	264	143	257
GTF3C2-AS1	4	2	0	0	0	0	1	0	1	0	0
GTF3C3	3413	1850	1108	1094	716	827	190	151	365	127	194
GTF3C4	1077	772	570	509	319	363	319	261	398	208	287
GTF3C5	1197	796	437	320	218	208	55	34	51	43	41
GTF3C6	1027	765	3972	3409	2126	2519	220	270	518	219	217
GTPBP1	1037	555	247	222	131	167	119	54	160	58	74
GTPBP10	2577	927	960	1238	575	747	94	104	193	64	160
GTPBP2	1552	271	1041	2791	579	763	125	89	170	84	87
GTPBP3	197	135	370	319	193	309	78	48	137	63	87
GTPBP4	7294	3603	2580	2409	1398	1731	622	597	1195	470	849
GTPBP6	1490	930	159	191	73	88	32	12	37	23	19
GTPBP8	901	428	1166	626	599	803	118	88	185	51	110
GTSCR1	0	0	0	0	0	0	0	0	0	0	0
GTSE1	80	156	237	98	75	128	105	64	142	38	96
GTSE1-DT	9	11	1	14	2	8	0	1	2	2	1
GTSF1	0	0	0	3	0	0	1	0	1	0	0
GTSF1L	0	0	0	0	0	0	0	0	0	0	0
GUCA1A	0	0	0	0	0	0	0	0	0	0	0
GUCA1B	63	10	42	90	31	38	8	4	38	2	3
GUCA1C	0	0	1	0	1	0	0	0	0	0	0
GUCA2A	0	0	0	0	0	0	0	0	0	0	0
GUCA2B	0	0	0	0	0	0	0	0	0	0	0
GUCD1	1795	1174	693	463	351	283	109	43	122	79	129
GUCY1A1	58	18	12	48	254	81	0	1	6	0	1
GUCY1A2	3	0	0	2	6	6	0	0	2	0	0
GUCY1B1	65	39	117	128	520	404	3	8	23	3	4
GUCY2C	0	0	10	0	0	0	1	0	0	0	0
GUCY2D	8	8	20	7	9	5	0	0	1	0	0
GUCY2F	0	0	0	0	0	0	0	0	0	0	0
GUF1	969	500	1152	1252	757	987	167	185	389	143	204
GUK1	6740	3141	2652	2275	1208	1195	289	177	456	271	243
GULP1	205	95	497	451	180	190	44	8	47	18	29
GUSB	323	173	853	707	538	591	54	36	69	36	37
GUSBP11	14	4	0	0	0	0	1	0	0	1	0
GVQW2	12	9	31	11	29	16	2	2	8	10	6
GVQW3	30	20	16	16	11	26	11	7	10	11	8
GXYLT1	348	247	493	620	307	384	144	144	275	79	196
GXYLT2	147	101	23	75	36	68	63	37	88	14	29
GYG1	1702	742	1574	1675	765	1139	132	123	299	116	176
GYG2	5	5	37	8	22	20	9	3	20	4	8
GYG2-AS1	0	0	0	0	0	0	0	0	0	0	0
GYPA	1	0	0	0	0	0	0	0	0	0	0
GYPB	0	0	0	0	0	0	0	0	1	0	0
GYPC	0	0	1	30	32	0	0	0	0	0	0
GYPE	1	0	0	3	2	0	0	0	0	0	0
GYS1	459	523	224	156	162	109	181	129	256	113	131
GYS2	0	0	0	0	0	0	0	0	0	1	0
GZF1	1477	666	388	491	213	293	56	40	87	26	60
GZMA	0	0	0	0	0	0	0	0	1	0	0
GZMB	2	3	0	0	0	0	0	0	0	0	0
GZMH	0	0	0	0	0	0	0	0	0	0	0
GZMK	0	0	0	0	0	0	0	0	0	0	0
GZMM	0	0	0	0	0	0	0	0	0	0	0
H19	21	10	0	0	0	0	0	0	0	0	0
H1FX-AS1	5	3	29	18	104	19	0	0	1	4	1
H6PD	739	305	129	66	58	62	49	24	79	29	31
HAAO	0	0	0	0	0	1	1	0	1	2	0
HABP2	1	0	0	0	0	0	0	0	0	0	0
HABP4	372	173	53	72	88	50	33	23	71	28	25
HACD1	1078	357	1303	952	799	923	117	101	238	98	121
HACD2	7490	2851	2382	3727	1971	3445	605	661	1105	504	808
HACD3	5905	3192	4715	2295	2607	2699	684	536	1063	578	868
HACD4	1571	775	2770	866	1759	1508	186	101	263	89	156
HACE1	669	305	763	486	471	512	64	47	124	48	60
HACL1	696	448	534	366	367	441	124	78	163	60	150
HADH	1778	931	2740	1530	2015	1885	279	201	754	127	276
HADHA	16750	6965	2875	2289	2026	2037	403	254	461	246	290
HADHB	8051	2563	4336	6281	3073	4052	433	382	1020	335	472
HAGH	541	239	743	698	451	456	24	19	57	34	21
HAGHL	394	107	93	121	54	77	3	2	6	9	2
HAGLR	1	1	0	0	0	0	0	0	0	0	0
HAGLROS	1	3	0	0	4	1	0	0	0	0	0
HAL	5	2	4	0	2	2	5	2	3	3	5
HAMP	0	0	0	0	0	0	1	0	0	0	0
HAND1	0	0	0	0	0	0	0	0	0	0	0
HAND2	1	0	0	0	0	0	0	0	0	0	0
HAND2-AS1	1	0	0	0	0	0	0	0	1	0	0
HAO1	0	0	0	0	0	0	0	0	0	0	0
HAO2	0	0	0	0	0	0	0	0	0	0	0
HAO2-IT1	0	0	0	0	0	0	0	0	0	0	0
HAP1	90	18	0	13	6	3	3	0	3	1	1
HAPLN1	0	0	0	0	0	0	0	0	0	0	0
HAPLN2	0	0	0	0	0	0	0	0	0	0	0
HAPLN3	26	23	34	12	5	9	23	8	20	18	13
HAPLN4	0	0	0	0	0	0	0	0	0	0	0
HAR1A	6	0	4	2	5	6	1	0	0	0	0
HAR1B	0	0	2	4	0	0	0	0	0	0	0
HARBI1	283	82	141	177	44	75	15	3	16	5	15
HARS2	1587	1002	675	511	467	440	121	78	194	78	79
HAS1	1	0	3	4	15	9	0	0	10	0	0
HAS2	0	5	320	899	495	82	11	23	22	18	50
HAS2-AS1	0	0	28	23	37	11	0	2	7	4	4
HAS3	641	666	914	208	731	847	509	205	953	198	182
HASPIN	221	306	39	2	6	27	10	10	10	12	12
HAT1	2395	1797	6662	3977	2841	4204	392	442	887	332	500
HAUS1	1930	1069	2998	1317	1713	2189	161	93	228	107	219
HAUS2	2175	1049	931	689	385	456	199	173	451	175	216
HAUS3	680	351	377	418	248	295	92	57	92	46	83
HAUS4	1309	399	163	184	93	123	6	5	11	5	5
HAUS5	602	436	121	69	53	69	45	34	71	34	41
HAUS6	2625	1779	1292	1230	588	777	205	185	382	127	261
HAUS7	3	3	2	0	0	0	0	2	0	1	1
HAUS8	369	279	111	48	47	86	39	24	52	18	37
HAVCR1	0	0	0	0	0	0	0	0	0	0	0
HAVCR2	7	2	0	2	0	0	0	0	2	0	1
HAX1	4952	1786	2354	2842	1441	2021	137	121	224	100	120
HBA1	0	0	0	0	0	0	0	0	0	1	0
HBA2	0	0	0	0	0	0	0	0	0	0	0
HBB	0	0	0	0	0	0	0	0	0	0	0
HBD	0	0	0	0	0	0	0	0	0	0	0
HBE1	0	0	0	0	0	0	0	0	0	0	0
HBEGF	5599	1336	2353	2370	396	2213	360	195	545	281	291
HBG1	0	0	0	0	0	0	1	0	0	0	0
HBG2	0	0	0	0	0	0	0	0	0	0	0
HBM	0	0	0	0	0	0	0	0	0	0	0
HBP1	2766	891	159	250	140	120	163	117	346	98	122
HBQ1	2	1	4	1	2	0	0	0	0	0	0
HBS1L	4390	2539	860	1121	664	1070	232	182	417	138	210
HBZ	0	0	0	0	0	1	0	0	0	0	0
HCAR1	0	0	0	3	3	0	4	1	0	0	0
HCAR2	176	102	206	78	207	125	23	12	41	21	7
HCAR3	111	49	2	1	7	3	23	12	44	24	14
HCCAT5	0	0	0	0	0	0	2	0	0	0	0
HCCS	448	316	1171	987	680	730	112	108	244	75	146
HCFC1	390	405	593	446	397	305	560	553	1030	488	661
HCFC1-AS1	2	0	0	0	0	0	0	0	0	0	0
HCFC1R1	356	96	472	303	304	420	59	52	64	54	46
HCFC2	721	266	265	166	210	200	53	32	115	39	33
HCG11	191	101	247	208	162	160	16	15	45	19	19
HCG14	1	3	9	1	2	6	0	0	0	0	1
HCG15	3	2	5	1	1	1	0	1	0	0	0
HCG17	0	0	2	0	0	3	0	0	0	0	0
HCG18	382	211	580	765	370	352	165	101	174	102	143
HCG20	12	2	2	4	5	2	3	2	2	0	3
HCG21	0	0	0	0	0	0	0	0	0	0	0
HCG22	1	0	1	0	9	1	1	0	0	0	0
HCG24	0	0	0	0	0	0	0	0	0	0	0
HCG25	11	7	6	9	5	0	3	0	5	3	0
HCG27	6	2	1	2	0	3	1	0	4	0	0
HCG9	0	1	1	0	0	0	0	0	0	0	1
HCK	2	0	2	2	0	0	0	0	0	0	0
HCLS1	130	86	27	5	0	1	15	10	10	8	18
HCN1	0	0	0	0	0	0	0	0	0	0	0
HCN2	3	0	0	0	0	1	0	0	0	0	1
HCN3	9	4	2	1	1	1	4	5	6	4	4
HCN4	0	0	0	0	0	0	0	0	0	0	0
HCP5	145	45	277	269	160	106	20	12	37	11	9
HCRT	1	0	0	0	0	0	0	0	0	0	0
HCRTR1	4	2	0	0	0	0	0	0	0	0	0
HCRTR2	0	0	0	0	0	0	0	0	0	0	0
HCST	0	0	2	3	0	0	1	0	3	1	1
HDAC1	4488	3319	1669	753	995	937	550	416	875	411	463
HDAC10	7	1	25	14	18	9	35	9	19	15	19
HDAC11	773	157	271	214	142	166	20	10	24	9	10
HDAC11-AS1	0	0	0	0	0	0	0	0	0	0	0
HDAC2	1786	1132	4223	3397	2736	3278	786	673	1799	635	862
HDAC2-AS2	3	2	9	10	8	25	2	0	5	1	3
HDAC3	1978	1024	498	521	273	345	213	107	271	147	216
HDAC4	205	106	101	95	92	74	24	23	63	28	39
HDAC4-AS1	29	4	8	33	3	20	2	6	14	6	4
HDAC5	948	334	48	63	54	33	7	5	11	10	2
HDAC6	889	489	234	280	181	131	30	20	32	18	17
HDAC7	584	390	311	295	249	299	287	150	415	155	194
HDAC8	340	183	341	164	199	276	101	55	111	55	94
HDAC9	2285	788	1062	577	450	378	115	85	220	77	96
HDC	0	0	0	0	0	0	0	0	0	0	0
HDDC2	1666	789	5151	5094	2861	3461	280	327	747	238	404
HDDC3	223	86	24	48	9	28	114	87	145	76	139
HDGF	11259	6968	5081	3643	2909	3402	2377	2232	3752	2320	2461
HDGFL1	0	0	0	0	0	0	0	0	0	0	0
HDGFL2	1757	1030	203	143	156	111	137	38	136	101	85
HDGFL3	3270	1663	4622	5062	3251	3887	601	454	1009	426	600
HDHD2	19	8	15	32	14	22	64	43	178	88	90
HDHD3	433	149	89	95	69	61	38	20	35	39	37
HDHD5	857	556	570	466	327	378	120	97	162	107	146
HDHD5-AS1	9	3	1	6	1	7	0	0	0	0	0
HDLBP	14503	8194	3403	3212	1890	1990	1898	1322	2395	1237	1845
HDX	91	42	107	97	59	29	19	13	55	10	13
HEATR1	3325	2497	187	269	130	96	440	372	669	295	605
HEATR3	1332	817	693	250	266	332	111	105	201	93	97
HEATR4	10	5	3	7	2	2	11	4	10	8	12
HEATR5A	582	535	735	454	512	489	101	86	214	72	80
HEATR5B	690	506	271	240	175	171	113	80	169	60	100
HEATR6	910	570	264	242	137	142	48	30	61	38	35
HEATR9	1	0	0	0	0	0	0	0	0	0	0
HEBP1	199	98	1943	1087	887	932	228	168	499	193	279
HEBP2	5513	1999	8861	7853	5002	6456	275	302	792	215	236
HECA	1504	680	1009	1246	623	718	142	132	349	123	147
HECTD1	8639	4685	1087	1212	633	840	749	495	959	379	647
HECTD2	250	152	247	191	167	167	44	31	74	20	32
HECTD3	319	233	251	272	154	117	123	108	232	86	127
HECTD4	372	199	170	176	153	122	132	58	124	67	104
HECW1	0	3	1	3	1	0	0	0	0	0	1
HECW1-IT1	0	0	0	0	0	0	0	0	0	0	0
HECW2	8	4	21	132	175	9	0	3	2	2	1
HECW2-AS1	5	4	104	17	18	4	0	3	1	0	2
HEG1	948	603	761	384	566	477	235	76	665	77	135
HEIH	201	33	101	178	71	101	21	11	22	4	8
HELB	343	229	24	20	14	19	35	22	69	13	26
HELLPAR	102	52	22	8	10	3	69	24	87	46	73
HELLS	1173	1644	996	332	384	543	652	485	767	399	663
HELQ	479	244	392	422	310	310	48	33	62	30	74
HELT	0	0	0	0	0	0	0	0	0	0	0
HELZ	2400	1328	476	437	416	465	538	464	969	312	448
HELZ2	823	585	53	39	33	44	89	40	106	105	45
HEMGN	0	0	0	0	0	0	0	0	0	0	0
HEMK1	512	257	384	199	226	228	46	28	56	37	34
HENMT1	74	59	58	38	17	39	0	5	2	2	1
HEPACAM	0	0	0	3	0	0	0	0	0	0	0
HEPACAM2	0	0	0	2	0	2	0	0	0	0	0
HEPH	0	0	0	12	11	20	0	0	0	0	0
HEPHL1	844	778	908	115	556	52	188	7	64	21	6
HEPN1	0	0	0	0	0	0	0	0	3	2	1
HERC1	2115	1396	306	211	238	220	256	133	257	133	188
HERC2	1631	1000	494	376	301	311	217	160	228	127	196
HERC3	55	17	28	37	10	34	6	1	13	7	10
HERC4	3452	2125	2314	1637	1316	1485	304	206	551	192	291
HERC5	128	38	131	28	27	46	4	2	19	13	9
HERC6	221	163	363	100	116	110	26	17	38	23	19
HERPUD1	3660	1103	4335	5415	2377	3604	291	387	869	325	292
HERPUD2	1299	457	946	1005	641	857	204	168	448	195	159
HES1	4129	1819	1334	1570	1117	1162	1389	1712	1996	1899	1950
HES2	1591	718	1093	1244	1781	853	174	133	330	79	107
HES3	0	0	0	0	0	0	0	0	0	0	0
HES4	1020	179	13	18	18	3	2	0	1	0	0
HES5	6	3	10	0	12	14	1	1	0	0	1
HES6	114	24	84	196	39	47	4	1	7	1	2
HES7	128	51	18	28	14	47	8	15	25	10	11
HESX1	10	7	26	26	18	28	5	0	3	0	2
HEXA	346	119	510	466	275	367	91	67	136	78	78
HEXA-AS1	2	1	3	1	1	4	0	1	2	1	0
HEXB	6822	2968	3805	3474	2544	2385	310	263	567	270	314
HEXD	188	59	37	59	28	14	3	10	13	7	7
HEXD-IT1	1	0	0	0	0	0	1	3	4	1	1
HEXIM1	880	594	708	547	411	337	419	334	592	254	436
HEXIM2	35	14	1	1	1	0	8	1	9	4	4
HEY1	25	13	16	81	70	38	7	7	2	4	8
HEY2	0	1	23	46	15	13	9	4	13	3	4
HEYL	1	0	0	76	50	1	0	3	0	0	0
HFE	562	348	485	110	208	226	87	69	104	58	78
HFM1	0	0	6	0	2	1	3	0	2	3	1
HGD	1	0	0	0	1	1	0	0	0	0	0
HGF	0	0	2	100	25	1	0	0	0	0	0
HGFAC	0	0	0	0	0	0	0	0	0	0	0
HGH1	225	158	116	133	59	88	54	53	70	44	73
HGS	2045	944	1	1	0	2	183	79	220	130	158
HGSNAT	743	440	671	377	381	449	358	224	474	218	296
HHAT	64	15	75	71	44	61	12	0	17	4	4
HHATL	0	0	0	0	3	0	0	0	0	0	0
HHATL-AS1	0	0	0	0	0	0	0	0	0	0	0
HHEX	2	4	52	30	6	0	0	0	3	1	0
HHIP	0	1	17	59	25	4	2	2	4	4	1
HHIP-AS1	1	0	202	37	46	2	3	3	2	4	0
HHIPL1	23	16	22	18	12	11	1	1	4	6	1
HHIPL2	2	1	0	5	2	5	2	2	1	1	1
HHLA1	0	0	0	0	0	0	0	0	0	0	0
HHLA2	0	0	0	0	2	0	1	1	0	1	0
HHLA3	19	3	337	446	307	243	21	17	41	33	20
HIBADH	3547	1375	3289	2054	1601	2383	282	251	735	262	348
HIBCH	1680	895	1445	775	899	1256	138	119	333	116	101
HIC1	228	190	8	24	10	0	22	14	18	17	22
HIC2	75	51	14	13	8	15	64	26	71	37	36
HID1	31	5	1	23	5	7	1	0	1	0	0
HID1-AS1	0	0	0	0	0	0	0	0	0	0	0
HIF1A	15520	5334	6091	5782	7328	5771	1165	821	3122	621	1078
HIF1A-AS1	0	1	1	0	0	0	0	0	0	0	0
HIF1A-AS3	14	9	0	1	1	0	0	0	0	0	0
HIF1AN	1124	726	554	467	343	365	99	86	188	68	96
HIF3A	1	1	12	1	2	1	0	1	3	2	0
HIGD1A	5050	2309	15024	8614	8101	9655	761	555	1640	602	784
HIGD1B	2	0	0	0	0	0	0	0	0	0	0
HIGD1C	0	1	0	0	0	0	0	0	0	0	0
HIGD2A	264	154	1782	1362	980	1177	318	262	561	354	259
HIGD2B	2	2	1	2	2	0	1	1	4	2	5
HIKESHI	3282	1361	4303	3672	2593	3127	270	170	424	194	246
HILPDA	524	185	453	389	278	342	49	36	164	41	56
HINFP	704	283	183	241	114	88	18	22	26	14	19
HINT1	15667	6209	32370	29504	18982	23409	3269	2277	4543	2065	3411
HINT2	3	1	9	2	5	4	18	21	23	9	13
HINT3	1474	476	450	358	223	456	77	62	209	93	75
HIP1	1233	578	275	169	153	204	131	77	399	63	54
HIP1R	1166	723	61	33	27	28	26	17	33	20	23
HIPK1	1878	948	640	586	397	537	265	184	420	174	268
HIPK1-AS1	23	13	13	1	13	16	1	0	1	0	2
HIPK2	634	373	545	513	527	526	1017	626	1035	522	848
HIPK3	6575	2546	1597	1813	1222	1425	410	389	694	285	368
HIPK4	0	3	0	0	0	0	0	0	0	0	0
HIRA	72	50	444	297	199	274	59	47	78	53	42
HIRIP3	157	81	322	187	139	243	27	20	23	21	17
HIVEP1	486	188	355	331	229	307	189	121	279	128	141
HIVEP2	870	386	387	341	167	256	210	141	254	140	143
HIVEP3	34	20	117	54	71	50	22	18	41	22	21
HJURP	806	852	515	106	155	383	233	158	374	113	205
HJV	0	0	0	0	0	0	0	0	0	0	0
HK1	11971	6341	1890	1415	1235	1525	587	532	1264	519	450
HK2	1276	767	494	906	312	713	134	201	402	118	193
HK3	0	1	0	0	0	0	0	0	0	0	0
HKDC1	9	3	3	8	11	0	0	0	0	1	1
HLA-A	4745	1861	5210	6789	3253	3316	2299	1190	2689	945	1697
HLA-B	2335	789	9456	6646	5299	3446	811	427	1730	661	306
HLA-C	4695	2082	7450	6586	2595	3583	1280	346	535	264	335
HLA-DMA	47	24	70	41	41	32	12	10	9	5	8
HLA-DMB	3	0	1	0	3	0	0	0	0	0	0
HLA-DOA	0	0	1	6	3	3	2	1	2	0	0
