"lako1"	"lako2"	"lako3"	"lako4"	"lako6"
"CCDC137"	49	102	93	172	11
"ARL16"	67	109	101	158	14
"HGS"	62	81	92	122	9
"AC139530.3"	0	3	0	2	0
"AC139530.1"	7	25	29	31	0
"MRPL12"	81	104	107	180	4
"SLC25A10"	5	6	13	21	1
"MCRIP1"	71	116	117	152	8
"PPP1R27"	1	5	1	0	0
"P4HB"	230	343	368	751	31
"AC145207.2"	0	4	2	0	1
"ARHGDIA"	231	440	450	516	5
"AC145207.5"	4	4	12	19	3
"AC145207.6"	0	0	1	0	0
"ALYREF"	89	189	206	235	6
"ANAPC11"	298	550	405	891	32
"NPB"	5	14	13	13	1
"PCYT2"	15	20	12	21	0
"SIRT7"	53	60	71	119	6
"MAFG"	230	433	322	407	4
"MAFG-DT"	2	7	7	7	1
"PYCR1"	12	6	10	7	1
"MYADML2"	0	0	0	0	0
"NOTUM"	0	0	0	0	0
"ASPSCR1"	37	59	48	91	3
"CENPX"	137	275	196	430	7
"LRRC45"	10	20	17	22	2
"RAC3"	50	38	73	60	3
"DCXR"	156	238	316	320	6
"DCXR-DT"	1	4	3	4	0
"RFNG"	26	43	52	42	2
"GPS1"	27	64	53	124	4
"DUS1L"	103	178	211	259	5
"FASN"	20	26	47	54	4
"CCDC57"	65	114	138	236	3
"AC132872.2"	0	1	1	0	0
"SLC16A3"	26	54	114	45	1
"CSNK1D"	79	239	258	157	6
"AC132872.3"	0	1	0	0	0
"AC132872.5"	0	0	2	0	0
"LINC01970"	0	2	10	2	0
"AC132872.1"	5	17	13	13	1
"CD7"	2	3	5	23	0
"SECTM1"	12	50	26	59	3
"AC132938.1"	0	0	1	0	0
"OGFOD3"	34	74	67	184	6
"AC132938.2"	0	1	0	1	0
"HEXD"	23	76	53	88	6
"HEXD-IT1"	1	5	6	7	1
"CYBC1"	19	30	31	83	4
"AC132938.6"	3	8	2	2	0
"AC132938.3"	2	14	4	6	0
"NARF"	54	123	116	125	3
"NARF-AS1"	0	0	0	1	0
"NARF-IT1"	1	1	1	1	0
"FOXK2"	33	76	60	50	6
"AC124283.3"	0	1	0	0	0
"AC124283.1"	6	13	22	11	0
"WDR45B"	125	291	272	338	12
"RAB40B"	37	68	43	92	1
"AC024361.2"	0	2	2	1	0
"FN3KRP"	35	58	63	90	5
"FN3K"	4	6	11	4	0
"TBCD"	10	24	27	30	2
"ZNF750"	110	144	188	564	1
"AC087222.1"	0	0	0	0	0
"B3GNTL1"	2	5	1	2	1
"METRNL"	47	199	212	129	1
"AC130371.2"	0	0	0	0	0
"AC144831.1"	0	0	1	0	0
"AC139099.2"	1	0	1	0	0
"AC139099.1"	0	0	0	0	0
"USP14"	146	272	281	261	5
"THOC1"	49	119	122	95	11
"AP000845.1"	2	0	2	1	0
"AP000915.1"	0	0	0	0	0
"COLEC12"	20	14	9	20	11
"AP000915.2"	1	1	0	2	0
"CLUL1"	2	28	17	4	1
"TYMSOS"	0	11	7	18	1
"AP001178.3"	0	0	2	0	0
"TYMS"	5	11	15	28	2
"ENOSF1"	65	91	136	183	7
"YES1"	97	177	267	258	5
"AP001020.3"	1	5	5	4	0
"AP001020.1"	1	3	0	1	0
"AP001020.2"	2	8	14	18	0
"AP000894.4"	3	6	3	3	1
"ADCYAP1"	0	0	0	0	0
"LINC00470"	0	0	0	0	0
"AP005136.4"	1	0	0	0	0
"METTL4"	31	70	39	57	3
"AP005136.3"	1	0	0	1	0
"NDC80"	0	3	4	4	0
"SMCHD1"	62	148	139	188	10
"EMILIN2"	11	77	41	60	11
"LPIN2"	42	121	105	104	5
"AP000919.4"	0	1	2	1	0
"AP000919.2"	0	6	2	3	0
"AP000919.3"	0	0	0	1	0
"MYOM1"	2	3	1	1	0
"AP005329.2"	0	0	0	0	0
"AP005329.3"	12	16	8	12	1
"MYL12A"	631	1766	1428	1738	76
"AP005329.1"	4	3	2	3	0
"MYL12B"	1213	2704	2227	2945	110
"AP001025.1"	1	0	0	0	0
"TGIF1"	328	1387	1957	1194	46
"GAPLINC"	2	3	2	2	0
"DLGAP1"	2	5	4	5	0
"DLGAP1-AS1"	25	45	59	27	3
"DLGAP1-AS2"	11	26	38	23	0
"AP002478.1"	7	1	0	0	0
"DLGAP1-AS4"	0	0	0	0	0
"AKAIN1"	0	0	0	0	0
"AP001496.4"	0	0	0	0	0
"LINC00526"	6	13	4	4	0
"LINC00667"	43	133	78	105	9
"ZBTB14"	9	30	15	20	1
"AP005671.1"	0	0	0	0	0
"EPB41L3"	17	51	56	35	0
"TMEM200C"	0	2	0	0	0
"AP001021.1"	0	0	0	0	0
"L3MBTL4"	15	28	27	39	1
"L3MBTL4-AS1"	0	1	1	1	0
"AP005202.1"	0	0	0	0	0
"AP005205.2"	4	4	2	8	1
"ARHGAP28"	5	13	18	26	1
"AP005210.2"	2	0	0	0	0
"LINC00668"	2	0	0	0	0
"LAMA1"	1	1	3	3	1
"AP001095.1"	0	0	0	1	0
"PTPRM"	9	9	6	13	0
"AP000897.1"	0	0	0	1	0
"AC006566.2"	0	0	0	0	0
"AC006566.1"	0	1	0	0	0
"AP001094.2"	0	0	1	1	0
"RAB12"	24	47	44	52	1
"GACAT2"	1	6	2	6	0
"MTCL1"	16	61	65	60	4
"NDUFV2"	533	818	890	935	37
"AP005899.1"	1	3	0	2	0
"NDUFV2-AS1"	16	51	41	35	2
"ANKRD12"	736	1537	1501	1494	33
"AP001033.2"	17	37	39	28	0
"AP001033.1"	3	1	6	0	0
"TWSG1"	68	112	172	92	9
"AP001033.3"	11	7	6	5	1
"AP005432.2"	0	0	0	1	0
"RALBP1"	324	439	391	547	25
"AP005432.1"	1	1	4	4	0
"PPP4R1"	149	247	163	211	11
"AP001381.1"	0	0	0	0	0
"PPP4R1-AS1"	3	1	5	1	0
"LINC02856"	0	1	0	0	0
"RAB31"	45	53	107	54	3
"AC006238.1"	1	0	1	1	0
"VAPA"	566	1217	1229	1075	44
"LINC01254"	0	0	0	0	0
"APCDD1"	17	49	43	84	5
"NAPG"	102	181	139	198	4
"LINC01887"	0	0	0	0	0
"PIEZO2"	3	17	10	32	0
"AP005229.1"	0	1	1	1	0
"AP001120.1"	0	0	0	0	0
"GNAL"	89	143	207	329	6
"CHMP1B"	485	1376	1305	1416	13
"CHMP1B-AS1"	1	4	4	2	0
"AP005137.2"	1	2	6	1	0
"MPPE1"	39	86	57	115	5
"AP001269.4"	12	20	18	53	0
"AP001269.2"	0	3	2	2	0
"IMPA2"	168	438	232	372	8
"ANKRD62"	0	1	0	0	0
"CIDEA"	0	0	1	1	0
"AP005264.1"	1	1	0	2	0
"TUBB6"	90	71	110	39	4
"AFG3L2"	101	144	193	180	8
"PRELID3A"	5	4	4	5	2
"AP001029.2"	1	0	5	0	0
"SPIRE1"	12	11	37	34	0
"PSMG2"	147	282	291	388	19
"CEP76"	6	21	30	29	1
"AP005482.3"	0	0	4	3	0
"AP005482.1"	0	0	0	1	0
"PTPN2"	102	224	230	233	12
"SEH1L"	58	103	127	103	5
"AP002449.1"	0	3	4	5	0
"CEP192"	16	26	22	42	1
"LDLRAD4"	1	6	6	0	0
"LDLRAD4-AS1"	0	0	0	0	0
"AP005131.6"	1	0	1	0	0
"AP005131.7"	0	0	0	0	0
"FAM210A"	34	59	77	57	6
"RNMT"	211	401	383	481	24
"MC5R"	0	0	0	0	0
"ZNF519"	19	21	25	27	2
"LINC01443"	0	0	0	0	0
"AP005901.6"	0	1	0	0	0
"AP005901.5"	1	0	0	1	0
"ROCK1"	133	222	201	254	13
"GREB1L"	0	0	1	1	0
"ESCO1"	66	149	111	149	6
"SNRPD1"	375	618	592	724	23
"ABHD3"	27	48	84	81	2
"AC106037.2"	0	0	1	0	0
"MIB1"	41	99	90	150	4
"MIR133A1HG"	1	2	9	5	0
"GATA6"	0	1	2	0	0
"CTAGE1"	0	0	0	0	0
"AC090912.1"	1	5	4	7	0
"AC090912.2"	1	6	5	11	0
"RBBP8"	109	225	209	203	16
"AC090912.3"	0	0	0	1	0
"CABLES1"	9	17	22	15	1
"TMEM241"	12	14	9	9	5
"AC011731.1"	0	1	1	1	0
"RIOK3"	315	486	606	611	15
"RMC1"	13	28	46	30	2
"NPC1"	41	82	83	70	1
"ANKRD29"	2	2	5	4	1
"LAMA3"	197	465	521	296	20
"TTC39C"	85	140	129	289	8
"TTC39C-AS1"	1	2	3	8	0
"CABYR"	4	2	5	0	0
"AC090772.3"	0	1	3	2	0
"OSBPL1A"	84	195	178	269	12
"AC023983.1"	0	0	0	0	0
"AC023983.2"	0	0	0	0	0
"IMPACT"	42	59	57	116	4
"AC007922.2"	1	0	0	0	0
"HRH4"	1	0	0	0	0
"AC007922.4"	0	0	0	0	0
"LINC01915"	0	0	0	0	0
"LINC01894"	0	0	0	0	0
"ZNF521"	4	8	13	8	0
"AC105114.2"	0	0	0	0	0
"SS18"	63	111	108	122	9
"PSMA8"	0	0	0	0	0
"TAF4B"	49	86	176	73	3
"AC121320.1"	0	0	1	0	0
"KCTD1"	45	134	116	298	14
"AC007996.1"	2	1	2	3	0
"AC090206.1"	0	0	0	0	0
"AQP4-AS1"	0	2	0	0	0
"AC012588.1"	0	0	2	0	0
"AQP4"	0	0	0	0	0
"CHST9"	0	0	0	0	0
"AC090403.1"	0	0	0	0	0
"AC068408.2"	0	0	0	0	0
"CDH2"	7	56	21	34	5
"AC110015.1"	14	68	28	22	0
"DSC3"	565	1194	1279	1174	56
"DSC2"	351	478	644	787	25
"DSCAS"	0	1	1	0	0
"DSC1"	9	24	6	8	0
"DSG1"	169	258	253	616	13
"DSG1-AS1"	3	28	12	7	0
"DSG3"	475	746	1004	1177	33
"AC021549.1"	0	0	0	0	0
"DSG2"	159	238	299	253	8
"DSG2-AS1"	1	2	5	4	0
"TTR"	0	1	0	1	0
"B4GALT6"	2	14	22	17	1
"AC017100.1"	3	8	1	7	0
"TRAPPC8"	11	36	51	71	3
"AC022960.1"	0	0	0	1	0
"AC022960.2"	0	0	0	0	0
"AC009831.1"	5	2	0	2	0
"RNF125"	9	17	13	20	0
"AC009831.3"	0	0	1	1	0
"AC011825.4"	1	5	1	3	0
"RNF138"	69	118	157	130	2
"AC011825.2"	1	4	6	5	0
"GAREM1"	108	199	224	109	2
"AC015563.1"	3	7	8	4	0
"AC015563.2"	1	0	0	0	0
"AC025887.2"	0	3	2	0	0
"KLHL14"	19	18	17	40	1
"AC012123.1"	1	1	5	7	0
"CCDC178"	0	11	0	1	0
"ASXL3"	4	12	8	15	0
"NOL4"	0	0	1	0	0
"DTNA"	2	2	1	2	0
"AC068506.1"	0	0	2	0	0
"MAPRE2"	98	362	341	215	1
"AC015967.1"	3	8	11	12	1
"ZNF397"	42	77	71	72	6
"ZSCAN30"	4	14	15	20	0
"AC011815.2"	2	3	5	3	0
"AC011815.1"	2	0	2	2	0
"AC116447.1"	0	0	0	0	0
"ZNF24"	96	310	207	285	7
"ZNF396"	4	0	3	7	1
"AC007998.4"	0	1	0	0	0
"AC007998.3"	1	1	0	3	0
"INO80C"	19	41	45	51	4
"GALNT1"	74	136	123	188	3
"AC090220.1"	1	0	0	2	0
"AC090229.1"	0	0	4	2	0
"AC118757.1"	0	0	0	0	0
"C18orf21"	35	70	50	79	4
"RPRD1A"	53	107	130	139	10
"SLC39A6"	114	190	178	362	18
"ELP2"	98	174	166	145	6
"AC023043.1"	3	8	11	32	0
"MOCOS"	2	4	10	16	0
"AC023043.4"	3	1	4	2	0
"FHOD3"	21	65	39	60	6
"TPGS2"	41	94	74	111	10
"KIAA1328"	20	56	63	83	4
"CELF4"	0	3	9	2	0
"AC015961.2"	0	1	3	2	0
"AC009899.1"	0	0	0	0	0
"MIR924HG"	10	24	14	12	0
"AC011139.1"	0	0	0	0	0
"LINC01902"	0	0	1	0	0
"AC021504.1"	19	19	16	37	0
"PIK3C3"	37	64	89	106	6
"AC087683.2"	0	1	0	0	0
"LINC00907"	0	0	1	0	0
"AC084335.1"	0	2	1	2	0
"RIT2"	0	0	0	0	0
"SYT4"	0	0	0	1	0
"AC120049.1"	1	0	0	0	0
"SETBP1"	11	63	69	51	5
"SLC14A2"	0	3	7	3	0
"SLC14A2-AS1"	0	0	0	0	0
"AC021517.2"	0	0	0	0	0
"AC023421.2"	0	0	0	0	0
"AC023421.1"	0	0	0	0	0
"SLC14A1"	0	0	8	0	0
"SIGLEC15"	0	1	0	0	0
"EPG5"	15	43	43	64	1
"PSTPIP2"	19	35	40	60	2
"ATP5F1A"	281	703	621	736	36
"HAUS1"	21	54	45	76	3
"C18orf25"	31	67	66	74	0
"RNF165"	9	47	37	59	4
"ST8SIA5"	0	0	0	0	0
"AC090241.2"	0	0	0	0	0
"AC090241.3"	0	0	0	1	0
"PIAS2"	41	83	110	187	7
"KATNAL2"	6	8	8	12	2
"AC012254.3"	0	0	0	0	0
"HDHD2"	21	45	43	66	5
"IER3IP1"	188	295	392	550	18
"SMAD2"	111	239	388	338	8
"ZBTB7C"	18	39	48	78	2
"AC105101.2"	0	0	0	0	0
"CTIF"	7	10	10	14	1
"SMAD7"	21	78	65	67	5
"AC016866.1"	0	0	0	1	0
"DYM"	42	85	87	93	5
"C18orf32"	174	411	348	558	14
"AC100778.2"	0	0	1	1	0
"AC100778.3"	1	0	1	0	0
"RPL17"	7387	17403	17287	18952	379
"LIPG"	10	1	4	8	0
"ACAA2"	17	16	13	14	2
"SNHG22"	0	1	1	0	0
"MYO5B"	26	29	23	37	1
"AC091044.1"	0	3	1	0	0
"CFAP53"	5	6	4	4	0
"AC090246.1"	0	0	0	0	0
"MBD1"	41	73	74	97	4
"CXXC1"	32	58	59	82	6
"SKA1"	0	1	0	1	0
"MAPK4"	0	0	2	0	0
"MRO"	0	1	0	1	0
"ME2"	28	45	56	59	6
"ELAC1"	17	13	14	27	2
"SMAD4"	77	142	119	170	13
"MEX3C"	30	83	90	92	4
"LINC01630"	0	0	0	0	0
"DCC"	0	1	0	0	0
"LINC01917"	0	0	2	0	0
"MBD2"	338	488	570	687	10
"AC093462.1"	1	3	9	15	0
"POLI"	14	39	39	50	0
"STARD6"	0	0	0	0	0
"C18orf54"	0	4	0	7	0
"DYNAP"	0	0	0	0	0
"RAB27B"	26	29	31	66	6
"AC007673.1"	0	0	0	0	0
"CCDC68"	1	0	3	0	0
"LINC01929"	0	0	0	0	0
"TCF4"	60	116	112	183	7
"TCF4-AS2"	0	0	1	0	0
"AC022031.2"	0	0	1	0	0
"LINC01415"	0	0	1	0	0
"AC009271.1"	0	0	1	2	0
"AC006305.1"	0	0	0	0	0
"AC009271.2"	0	0	0	0	0
"LINC01905"	0	0	0	1	0
"TXNL1"	287	555	455	537	17
"WDR7"	8	19	17	23	1
"ONECUT2"	0	2	2	2	0
"FECH"	21	23	27	38	3
"AC100847.1"	1	1	3	1	0
"NARS"	165	309	280	325	22
"AC027097.1"	7	14	13	8	1
"AC027097.2"	7	15	13	12	0
"ATP8B1"	36	41	58	68	2
"NEDD4L"	266	407	735	293	15
"AC090236.2"	12	35	52	30	0
"AC090236.1"	0	0	0	0	0
"MIR122HG"	0	0	1	0	0
"AC104971.1"	0	0	0	8	0
"MALT1"	68	120	123	130	3
"ZNF532"	16	28	19	22	2
"SEC11C"	185	217	165	447	8
"GRP"	17	9	6	14	0
"RAX"	0	0	0	0	0
"CPLX4"	0	0	0	0	0
"LMAN1"	309	483	370	767	20
"CCBE1"	16	30	49	26	1
"AC010776.2"	4	5	2	1	0
"AC010776.3"	0	0	1	0	0
"PMAIP1"	2318	3472	4453	4960	134
"AC090377.1"	4	1	1	1	0
"AC090621.1"	1	0	3	0	0
"AC091576.1"	0	14	2	12	0
"MC4R"	0	1	0	0	0
"CDH20"	0	0	1	0	0
"AC090409.2"	0	0	0	1	0
"AC090409.1"	0	4	0	2	0
"AC105094.2"	0	0	1	0	0
"RNF152"	29	58	78	62	1
"PIGN"	11	39	46	70	3
"RELCH"	24	35	42	57	0
"AC027514.1"	0	2	1	2	0
"TNFRSF11A"	4	4	7	2	0
"ZCCHC2"	114	214	331	94	1
"AC064801.1"	0	1	3	1	0
"PHLPP1"	24	44	74	36	1
"BCL2"	14	30	44	26	1
"AC022726.2"	0	0	0	0	0
"KDSR"	360	753	811	793	35
"AC036176.1"	9	35	16	26	0
"VPS4B"	176	269	247	403	17
"SERPINB5"	1163	1569	2011	1925	34
"AC036176.3"	143	147	213	438	10
"SERPINB12"	0	0	0	0	0
"SERPINB13"	3	6	2	2	0
"SERPINB4"	0	0	0	0	0
"SERPINB11"	1	1	1	0	0
"SERPINB3"	2	2	0	0	0
"SERPINB7"	6	5	15	4	0
"SERPINB2"	383	941	2064	554	8
"SERPINB10"	15	34	39	13	0
"HMSD"	2	11	1	0	0
"AC009802.1"	1	2	5	2	0
"SERPINB8"	133	238	298	111	2
"CDH7"	0	0	0	0	0
"CDH19"	40	35	34	179	0
"AC110597.1"	1	2	1	4	0
"DSEL"	29	47	65	52	0
"AC110597.3"	0	0	0	0	0
"AC114689.3"	1	0	0	0	0
"TMX3"	31	65	80	65	5
"CCDC102B"	3	4	4	8	1
"AC040896.1"	0	0	0	0	0
"AC096708.3"	1	0	0	0	0
"AC090337.1"	0	0	0	1	0
"DOK6"	0	1	3	1	0
"CD226"	0	0	3	1	0
"RTTN"	5	16	19	14	0
"AC021701.1"	4	0	0	1	0
"SOCS6"	42	69	115	89	2
"LINC01909"	1	0	0	0	0
"LIVAR"	1	1	1	0	0
"LINC01910"	1	0	0	0	0
"CBLN2"	0	0	0	0	0
"NETO1"	0	0	0	0	0
"FBXO15"	0	9	2	2	0
"TIMM21"	23	49	41	55	3
"CYB5A"	82	179	76	165	3
"AC090398.2"	0	0	0	0	0
"DIPK1C"	1	1	3	0	0
"CNDP2"	33	77	77	113	5
"AC009704.2"	3	4	0	0	0
"CNDP1"	0	0	0	0	0
"LINC00909"	23	59	32	81	1
"ZNF407"	15	25	29	30	3
"AC015819.2"	0	0	0	0	0
"AC015819.1"	0	0	0	0	0
"ZADH2"	28	47	49	61	2
"TSHZ1"	21	32	41	69	3
"AC012101.2"	0	0	0	0	0
"ZNF516"	13	62	97	42	0
"AC018413.1"	5	3	2	5	0
"C18orf65"	0	0	0	1	0
"LINC00683"	1	1	2	1	0
"ZNF236-DT"	4	6	3	5	1
"AC027575.2"	0	1	2	3	0
"ZNF236"	19	27	27	37	0
"MBP"	126	203	210	199	7
"AC018529.1"	0	0	0	0	0
"AC018529.2"	0	5	1	1	1
"GALR1"	0	1	0	1	0
"LINC01896"	0	0	0	0	0
"SALL3"	0	0	9	0	0
"ATP9B"	27	53	48	61	3
"AC125437.1"	2	1	4	5	0
"AC125437.3"	0	0	0	2	0
"NFATC1"	31	190	300	116	0
"AC018445.5"	0	0	0	1	0
"AC068473.3"	0	0	0	0	0
"AC068473.5"	16	5	9	14	0
"CTDP1"	14	19	15	18	1
"KCNG2"	1	0	1	1	0
"AC114341.1"	0	0	2	1	0
"SLC66A2"	91	255	176	149	11
"AC114341.2"	0	0	0	1	0
"HSBP1L1"	84	223	183	240	8
"TXNL4A"	158	211	227	324	12
"AC090360.1"	0	0	5	0	0
"RBFA"	63	80	84	134	2
"RBFADN"	1	2	4	3	0
"ADNP2"	98	162	176	184	8
"PARD6G-AS1"	25	17	4	20	0
"PARD6G"	39	58	82	103	4
"AC139100.2"	2	0	1	4	0
"LINC01002"	0	5	3	0	0
"AC016588.2"	4	10	13	10	1
"PLPP2"	59	13	34	118	2
"MIER2"	10	24	26	26	3
"AC010641.2"	0	0	0	1	0
"C2CD4C"	0	1	0	0	0
"SHC2"	14	24	27	40	3
"ODF3L2"	0	0	0	0	0
"MADCAM1"	3	1	1	3	0
"AC005775.1"	0	1	0	0	0
"TPGS1"	46	73	96	208	5
"CDC34"	32	55	66	86	8
"GZMM"	0	0	0	0	0
"AC009005.1"	2	2	2	1	0
"BSG"	226	362	437	730	43
"HCN2"	1	0	1	0	0
"POLRMT"	20	32	29	55	2
"FGF22"	1	2	2	3	0
"RNF126"	91	175	236	226	8
"AC004156.1"	0	0	0	0	0
"FSTL3"	22	36	89	38	3
"PRSS57"	0	0	0	0	0
"PALM"	7	43	36	26	2
"MISP"	3	2	7	7	0
"AC006273.1"	1	6	3	2	0
"LINC01836"	3	21	5	7	0
"PTBP1"	151	317	430	482	26
"AZU1"	0	0	0	0	0
"PRTN3"	0	0	0	0	0
"ELANE"	0	0	0	0	0
"CFD"	89	2057	1938	4494	8
"MED16"	19	40	82	74	4
"R3HDM4"	80	157	173	210	10
"KISS1R"	0	5	2	2	0
"ARID3A"	7	30	30	21	2
"WDR18"	28	46	57	94	7
"AC004528.1"	0	0	0	0	0
"TMEM259"	130	264	268	340	16
"AC004528.2"	0	0	2	0	0
"CNN2"	92	422	348	324	18
"ABCA7"	4	8	16	17	0
"ARHGAP45"	3	3	17	4	0
"POLR2E"	112	240	178	278	17
"GPX4"	1051	2624	2414	4316	110
"SBNO2"	55	87	65	68	5
"STK11"	37	69	71	112	7
"CBARP"	6	4	5	2	0
"AC004221.1"	0	0	1	0	0
"ATP5F1D"	361	728	813	1219	50
"MIDN"	272	1025	1068	1468	23
"CIRBP"	1276	3411	3016	4006	66
"CIRBP-AS1"	0	0	0	0	0
"FAM174C"	107	122	109	184	8
"EFNA2"	0	2	10	2	0
"PWWP3A"	45	120	130	101	14
"NDUFS7"	152	331	278	471	16
"AC005329.3"	0	0	1	0	0
"AC005329.1"	0	4	5	0	0
"GAMT"	91	192	179	225	10
"DAZAP1"	73	134	175	220	10
"RPS15"	8008	19760	19009	26730	497
"AC027307.3"	5	9	4	3	0
"APC2"	0	1	0	0	0
"AC027307.2"	1	5	2	6	0
"C19orf25"	46	87	93	124	5
"PCSK4"	1	6	5	4	0
"REEP6"	19	26	39	33	0
"ADAMTSL5"	1	1	13	8	1
"AC027307.1"	0	0	2	0	0
"PLK5"	0	0	4	0	0
"MEX3D"	35	77	87	78	1
"MBD3"	28	39	57	74	8
"UQCR11"	496	971	954	1816	64
"TCF3"	27	57	63	56	1
"AC005256.1"	0	0	0	0	0
"ATP8B3"	0	1	0	5	0
"REXO1"	27	51	58	58	3
"AC012615.2"	0	1	3	1	0
"KLF16"	104	289	202	134	2
"AC012615.1"	22	50	39	24	0
"ABHD17A"	67	139	135	193	12
"SCAMP4"	24	58	63	55	6
"ADAT3"	4	12	7	1	0
"CSNK1G2"	47	99	106	161	11
"BTBD2"	32	83	96	96	5
"AC005306.1"	3	3	1	2	0
"MKNK2"	175	531	517	498	8
"MOB3A"	16	26	40	41	4
"IZUMO4"	6	17	15	16	0
"AP3D1"	25	45	60	63	6
"DOT1L"	20	24	52	40	3
"AC004490.1"	0	1	1	0	0
"PLEKHJ1"	59	92	77	143	2
"SF3A2"	82	212	196	153	7
"AMH"	0	1	3	1	0
"JSRP1"	0	2	0	4	0
"OAZ1"	1403	2766	2350	3403	89
"LSM7"	371	602	631	1019	33
"SPPL2B"	15	25	30	60	3
"TMPRSS9"	0	0	0	0	0
"TIMM13"	297	410	427	807	15
"LMNB2"	24	23	25	26	2
"GADD45B"	1007	2357	1956	3528	74
"GNG7"	11	18	41	23	0
"AC092068.2"	0	0	1	2	0
"AC092068.3"	0	0	2	0	0
"DIRAS1"	5	7	2	5	0
"AC006538.1"	0	1	0	0	0
"SLC39A3"	27	30	30	80	5
"SGTA"	43	74	100	77	6
"THOP1"	10	15	11	19	4
"ZNF554"	3	7	6	18	2
"ZNF555"	7	13	6	14	0
"AC006130.3"	0	1	1	1	0
"ZNF556"	0	4	2	1	0
"ZNF57"	16	68	43	25	2
"AC119403.1"	3	6	4	3	1
"ZNF77"	9	27	23	20	0
"TLE6"	4	14	17	17	2
"TLE2"	12	53	68	41	2
"AC005944.1"	1	9	15	5	0
"TLE5"	459	1185	1103	1393	45
"GNA11"	35	72	82	87	0
"KF456478.1"	0	2	2	1	0
"GNA15"	65	65	134	105	10
"AC005264.1"	0	0	3	0	0
"S1PR4"	0	0	1	1	0
"NCLN"	17	21	33	28	1
"CELF5"	5	5	10	3	0
"NFIC"	255	597	698	741	51
"SMIM24"	0	0	0	0	0
"DOHH"	48	46	68	51	4
"FZR1"	31	74	84	85	3
"MFSD12"	37	36	42	58	5
"AC005786.2"	0	0	0	0	0
"HMG20B"	67	130	91	175	9
"GIPC3"	0	0	1	0	0
"TBXA2R"	0	1	1	0	0
"CACTIN"	16	21	24	31	3
"PIP5K1C"	15	30	35	40	0
"TJP3"	0	2	6	5	0
"APBA3"	12	18	30	33	4
"MRPL54"	163	336	235	520	23
"RAX2"	0	0	0	0	0
"MATK"	0	0	0	0	0
"ZFR2"	1	2	2	2	0
"ATCAY"	0	0	1	1	0
"DAPK3"	53	115	152	75	7
"EEF2"	1436	2120	2759	2714	118
"PIAS4"	16	45	33	56	5
"ZBTB7A"	228	567	732	608	18
"AC016586.1"	2	0	0	0	0
"MAP2K2"	120	208	190	283	6
"SIRT6"	16	26	23	33	4
"ANKRD24"	0	0	1	1	0
"EBI3"	0	0	0	0	0
"YJU2"	24	52	32	52	4
"TMIGD2"	1	0	0	0	0
"FSD1"	1	1	1	0	0
"STAP2"	66	126	162	178	12
"MPND"	15	24	18	31	1
"AC007292.3"	0	1	0	0	0
"AC007292.2"	1	0	1	0	0
"SH3GL1"	53	127	132	145	8
"AC007292.1"	0	1	0	0	0
"CHAF1A"	2	14	10	20	2
"UBXN6"	76	181	169	215	13
"AC011498.1"	1	0	1	10	0
"HDGFL2"	41	86	89	94	5
"PLIN4"	0	1	2	0	0
"PLIN5"	5	8	11	10	2
"LRG1"	14	28	54	40	11
"SEMA6B"	1	8	7	4	0
"TNFAIP8L1"	5	15	10	6	3
"MYDGF"	290	301	281	470	18
"AC005339.1"	0	1	0	0	0
"DPP9"	21	66	46	64	5
"DPP9-AS1"	0	1	0	0	0
"MIR7-3HG"	0	0	1	0	0
"AC005523.1"	1	5	1	0	0
"FEM1A"	22	57	54	48	2
"AC005523.2"	9	19	31	20	0
"TICAM1"	167	216	286	268	3
"AC027319.1"	0	4	2	2	0
"PLIN3"	145	231	228	242	15
"ARRDC5"	0	0	0	0	0
"UHRF1"	0	0	1	0	1
"KDM4B"	21	62	81	71	5
"PTPRS"	15	37	20	29	0
"AC022517.1"	0	0	1	0	0
"AC005790.1"	0	2	1	2	0
"TINCR"	94	224	316	282	4
"SAFB2"	91	161	147	190	11
"SAFB"	79	106	150	143	7
"RPL36"	8584	23157	22270	31398	547
"MICOS13"	224	436	422	727	24
"HSD11B1L"	17	29	29	22	1
"LONP1"	31	33	37	51	3
"CATSPERD"	0	1	1	0	0
"PRR22"	2	2	4	6	1
"DUS3L"	39	84	46	85	6
"NRTN"	4	7	16	13	0
"FUT6"	0	0	5	1	0
"FUT3"	2	4	19	5	0
"NDUFA11"	383	960	904	1318	50
"VMAC"	8	23	20	30	1
"AC104532.2"	5	9	9	9	1
"CAPS"	53	145	134	137	5
"RANBP3"	31	54	77	69	4
"AC011444.1"	1	6	3	5	0
"RFX2"	52	324	165	97	6
"AC011444.2"	0	0	0	1	0
"MLLT1"	22	59	58	60	6
"AC011471.2"	0	2	3	2	0
"ACER1"	0	0	0	1	0
"CLPP"	77	118	131	248	5
"ALKBH7"	230	542	588	818	23
"PSPN"	1	5	3	1	0
"GTF2F1"	83	184	183	152	14
"KHSRP"	100	211	268	281	7
"SLC25A41"	0	1	1	0	0
"SLC25A23"	32	55	67	83	3
"CRB3"	86	116	97	139	8
"DENND1C"	5	3	4	5	0
"AC010503.4"	9	12	12	20	1
"TUBB4A"	0	3	1	1	0
"AC010503.1"	0	0	0	0	0
"TNFSF9"	70	91	62	247	2
"CD70"	0	1	0	0	1
"TNFSF14"	1	0	4	1	0
"C3"	21	64	68	289	28
"AC008760.2"	3	2	1	3	0
