	LSC159	LSC177	LSCabb1	LSCabb2	PKC19
SLC35E3	45	31	21	30	17
MDM2	356	223	383	454	234
CPM	75	25	51	66	14
CPSF6	280	284	215	370	255
YEATS4	106	79	75	67	129
FRS2	125	118	71	107	131
CCT2	920	729	726	724	719
RP11-588G21.2	0	0	1	1	0
RAB3IP	103	85	71	136	99
MYRFL	0	0	0	0	1
LOC101928062	0	0	0	2	0
CNOT2	334	300	181	354	344
KCNMB4	3	1	1	3	22
PTPRB	5	2	6	0	0
PTPRR	1	0	0	1	1
LGR5	0	0	1	0	2
ZFC3H1	143	70	134	146	124
THAP2	2	3	14	17	18
TMEM19	72	72	56	79	97
RAB21	219	169	129	261	166
TBC1D15	84	81	52	73	103
ATXN7L3B	204	132	90	207	133
CAPS2	2	2	7	1	0
GLIPR1	104	67	93	142	3
KRR1	71	102	77	81	77
PHLDA1	2261	1957	1825	2541	936
NAP1L1	1984	1932	1881	2499	2056
BBS10	38	37	55	60	41
OSBPL8	474	459	513	445	453
ZDHHC17	83	60	43	81	51
CSRP2	40	26	21	29	38
E2F7	171	169	156	196	59
NAV3	73	42	36	26	23
SYT1	12	17	0	8	1
PAWR	390	362	466	580	367
PPP1R12A	291	289	310	334	291
ACSS3	0	0	0	3	0
RP11-362A1.1	1	0	0	0	0
CCDC59	128	108	94	133	98
METTL25	12	8	10	10	15
TMTC2	44	29	25	31	8
SLC6A15	89	135	123	141	27
TSPAN19	0	0	0	0	0
LRRIQ1	11	6	7	7	3
ALX1	0	0	0	1	1
RASSF9	34	25	34	38	20
NTS	1	0	0	0	0
MKRN9P	0	1	0	0	0
C12orf29	82	66	53	37	57
CEP290	125	103	139	85	56
TMTC3	568	385	611	379	367
KITLG	125	129	165	191	177
DUSP6	1238	693	929	1298	657
POC1B	86	70	63	68	58
ATP2B1	124	121	66	67	76
LINC00936	3	4	1	2	1
LINC00615	0	1	0	2	0
LUM	1	12	1	0	1
DCN	1	12	0	1	30
C12orf79	0	0	0	0	2
BTG1	418	416	422	546	644
PLEKHG7	0	3	0	3	2
EEA1	319	321	387	332	272
RP11-486A14.2	0	0	0	1	0
NUDT4	38	30	52	29	55
UBE2N	486	375	423	584	466
MRPL42	274	279	237	318	222
SOCS2	3	0	1	3	1
CRADD	0	1	0	0	0
PLXNC1	0	0	0	3	0
CCDC41	21	17	15	16	15
CCDC41-AS1	2	1	1	3	1
TMCC3	89	64	47	54	103
NDUFA12	304	253	363	288	414
NR2C1	74	72	61	68	79
FGD6	325	218	227	258	177
VEZT	351	292	249	286	228
METAP2	482	469	481	478	458
USP44	0	1	3	1	1
NTN4	2	2	0	1	0
SNRPF	635	506	325	524	475
CCDC38	3	2	0	0	1
AMDHD1	1	0	0	0	2
HAL	1	3	0	1	3
LOC102723340	1	0	0	0	1
LTA4H	48	46	34	55	45
ELK3	551	477	466	529	271
CDK17	145	113	101	106	113
C12orf55	2	2	1	2	1
NEDD1	221	185	175	223	188
SLC9A7P1	0	1	0	0	0
LOC643770	0	0	3	1	0
TMPO-AS1	4	9	1	12	4
TMPO	355	392	370	464	400
SLC25A3	1399	1415	977	1381	1248
IKBIP	147	150	216	233	62
APAF1	19	22	17	23	10
ANKS1B	0	0	1	0	0
UHRF1BP1L	45	34	22	12	28
GOLGA2P5	5	2	2	4	0
ACTR6	10	10	11	6	12
DEPDC4	5	2	3	3	9
SCYL2	232	212	199	194	238
SLC17A8	0	0	0	0	0
GAS2L3	34	29	23	19	34
ANO4	22	7	0	3	4
UTP20	187	148	126	121	131
ARL1	352	263	244	401	260
CHPT1	42	58	38	55	75
SYCP3	6	2	5	1	7
GNPTAB	209	145	137	126	145
DRAM1	103	74	82	121	61
CCDC53	112	71	67	113	171
NUP37	175	156	175	190	213
PARPBP	27	10	14	12	19
PMCH	3	0	0	1	1
IGF1	0	1	0	0	2
LOC101930305	2	0	0	1	0
NT5DC3	185	98	80	103	52
LOC102723501	0	0	0	0	1
GNN	0	0	0	1	0
HSP90B1	4720	2943	2953	3114	1586
C12orf73	23	19	23	16	31
TDG	143	145	92	107	103
GLT8D2	15	13	7	9	2
HCFC2	47	25	44	39	59
NFYB	115	118	132	173	180
TXNRD1	649	424	362	352	113
CHST11	116	101	65	98	26
SLC41A2	8	3	9	10	0
C12orf45	72	74	41	57	35
ALDH1L2	56	128	90	93	48
KIAA1033	223	154	143	170	159
APPL2	74	63	30	78	86
C12orf75	694	756	809	1505	944
NUAK1	97	54	43	82	53
CKAP4	1199	643	566	955	433
TCP11L2	10	5	5	4	6
POLR3B	35	20	18	15	14
RIC8B	26	14	17	26	15
C12orf23	216	191	231	252	122
MTERFD3	18	10	7	13	16
CRY1	70	52	59	78	46
BTBD11	35	21	14	31	44
PWP1	498	375	230	340	316
PRDM4	66	34	39	26	61
LOC728739	0	0	0	0	0
WSCD2	0	0	0	0	0
CMKLR1	0	1	0	0	0
FICD	6	1	0	0	1
SART3	139	130	115	165	119
ISCU	270	296	210	451	381
TMEM119	0	2	0	0	0
SELPLG	3	1	0	0	0
CORO1C	648	621	562	1100	618
SSH1	463	340	306	516	110
SVOP	0	0	0	0	1
USP30	34	14	23	28	25
ALKBH2	38	25	25	31	38
UNG	245	211	136	238	168
ACACB	0	3	0	2	2
MYO1H	1	1	1	0	1
KCTD10	260	201	99	181	107
UBE3B	106	114	68	114	128
MMAB	62	32	39	55	44
MVK	62	32	20	42	37
TRPV4	1	2	2	5	5
GLTP	296	324	202	297	439
TCHP	63	61	34	67	73
GIT2	87	91	61	106	73
ANKRD13A	10	12	7	9	22
C12orf76	1	0	0	0	0
IFT81	44	42	54	46	49
ATP2A2	517	280	298	251	193
ANAPC7	73	69	23	71	61
ARPC3	673	423	335	413	449
GPN3	108	91	119	121	103
FAM216A	26	35	25	60	11
VPS29	364	424	265	359	428
RAD9B	1	0	0	1	0
PPTC7	91	62	28	42	43
TCTN1	36	39	44	55	85
HVCN1	0	2	0	1	1
PPP1CC	61	51	23	34	35
CUX2	0	0	0	1	0
FAM109A	8	2	0	4	2
SH2B3	158	114	75	128	25
ATXN2	144	122	87	181	88
BRAP	39	26	22	20	24
ACAD10	9	3	1	11	9
ALDH2	227	124	142	175	185
MAPKAPK5-AS1	16	9	11	33	22
MAPKAPK5	47	40	40	61	54
ADAM1A	6	2	2	4	1
TMEM116	8	4	3	10	14
ERP29	145	141	56	166	123
NAA25	263	201	202	320	242
TRAFD1	72	45	39	75	92
HECTD4	73	32	21	47	42
RPL6	2317	906	2310	1074	2810
PTPN11	453	430	365	374	269
OAS1	11	2	2	10	114
OAS3	101	119	51	65	539
OAS2	47	25	44	38	246
LOC100506734	0	0	0	0	2
DTX1	0	0	0	0	0
DDX54	14	9	3	3	2
RITA1	60	58	19	60	56
IQCD	1	0	0	0	0
TPCN1	77	29	23	38	10
SLC8B1	27	6	14	8	12
PLBD2	2	2	0	2	1
SDSL	10	5	7	8	0
RBM19	63	37	34	40	41
TBX5	0	0	1	0	1
TBX5-AS1	0	1	1	0	0
TBX3	2	1	0	0	13
MED13L	252	236	195	198	198
LINC00173	6	4	4	4	4
MAP1LC3B2	9	5	4	16	5
C12orf49	80	75	48	83	58
RNFT2	2	0	4	1	0
HRK	0	0	1	0	0
FBXW8	39	35	20	45	17
LOC101928244	0	0	1	0	0
FBXO21	236	200	171	232	194
NOS1	136	103	50	147	48
KSR2	1	1	1	2	1
RFC5	67	108	62	103	94
WSB2	328	258	222	236	229
VSIG10	33	17	23	15	28
PEBP1	1160	1045	655	1345	1426
TAOK3	483	375	296	477	278
SUDS3	151	126	81	179	170
HSPB8	0	0	1	1	8
PRKAB1	40	26	13	27	15
CIT	97	86	73	108	102
CCDC64	14	2	6	9	8
RAB35	28	28	17	19	32
LOC101928498	19	13	8	6	16
GCN1L1	247	128	101	126	132
RPLP0	1255	756	486	592	841
PXN-AS1	1	0	0	0	0
PXN	2	3	0	1	0
RNU4-2	0	1	1	0	0
SIRT4	2	0	1	0	2
MSI1	0	0	1	2	5
COX6A1	1587	1027	714	880	1175
TRIAP1	177	130	188	173	202
GATC	56	44	28	49	29
SRSF9	51	41	19	46	31
DYNLL1	1472	1279	1231	1461	1553
COQ5	93	107	68	98	74
RNF10	211	150	99	165	157
POP5	69	44	28	42	51
MLEC	330	251	118	252	267
UNC119B	84	75	60	91	76
ACADS	2	0	1	4	1
SPPL3	304	195	105	221	290
HNF1A-AS1	0	0	0	0	0
C12orf43	27	28	9	15	22
OASL	1	0	0	0	6
P2RX7	0	0	0	1	0
P2RX4	2	1	0	1	3
CAMKK2	136	98	68	148	93
ANAPC5	259	144	145	162	231
RNF34	148	114	92	161	133
KDM2B	100	108	80	105	114
LOC101928346	0	1	0	0	0
ORAI1	77	56	13	76	114
MORN3	0	0	0	3	1
TMEM120B	5	1	5	8	1
LINC01089	7	4	4	5	6
SETD1B	133	99	76	106	128
PSMD9	295	204	111	209	149
WDR66	97	104	76	101	21
BCL7A	117	80	63	110	79
LOC100506691	1	1	0	0	0
MLXIP	99	59	22	56	72
B3GNT4	2	0	3	0	2
DIABLO	187	126	58	178	108
VPS33A	29	26	18	17	30
CLIP1	180	162	156	160	192
ZCCHC8	78	87	82	85	70
RSRC2	155	156	199	181	184
KNTC1	122	64	53	81	65
HCAR2	17	6	10	16	14
HCAR3	17	9	4	20	6
DENR	301	313	241	309	223
CCDC62	0	2	1	1	0
HIP1R	11	4	10	5	24
VPS37B	51	32	22	41	37
ABCB9	3	0	1	0	0
OGFOD2	3	4	7	7	8
ARL6IP4	51	28	15	48	30
PITPNM2	6	3	1	5	4
MPHOSPH9	37	29	28	32	29
C12orf65	42	33	59	37	54
CDK2AP1	1081	1134	905	1245	910
SBNO1	392	287	265	388	307
LOC100293704	1	1	0	4	8
SETD8	152	116	84	119	102
RILPL2	33	22	34	21	20
SNRNP35	0	0	1	0	0
LOC102723867	0	1	0	0	0
RILPL1	11	11	6	7	5
RP11-486O12.2	0	2	0	2	0
TMED2	1114	1063	920	1608	932
DDX55	68	66	37	47	61
EIF2B1	122	109	100	90	140
GTF2H3	261	278	215	346	223
TCTN2	26	21	9	11	31
ATP6V0A2	55	65	45	35	64
DNAH10	2	1	2	1	7
CCDC92	74	48	21	74	53
ZNF664-FAM101A	0	0	0	0	1
ZNF664	7	6	1	2	3
NCOR2	312	224	101	252	132
SCARB1	106	67	67	116	106
UBC	1216	779	1270	846	1909
DHX37	3	10	3	13	16
BRI3BP	20	9	11	9	16
AACS	152	84	73	95	93
TMEM132B	1	0	0	0	0
LINC00939	0	0	0	1	0
RP11-575F12.1	0	0	1	0	0
SLC15A4	167	132	115	169	124
TMEM132D	0	0	0	0	2
RP11-474D1.3	0	0	0	0	1
FZD10-AS1	0	4	1	0	9
FZD10	10	4	0	1	22
PIWIL1	0	1	0	0	0
RIMBP2	1	0	0	0	3
STX2	61	45	41	54	43
RAN	3251	2444	2276	2779	2085
SFSWAP	147	110	82	68	112
MMP17	1	0	2	0	0
ULK1	60	43	55	74	75
LOC102724075	1	0	0	1	0
PUS1	70	46	45	72	97
EP400	249	169	117	172	143
EP400NL	0	4	1	2	2
DDX51	19	12	4	15	20
NOC4L	10	6	5	8	1
LOC100996246	0	0	1	1	0
FBRSL1	126	143	51	146	74
POLE	71	33	22	26	53
PXMP2	31	44	11	47	25
PGAM5	168	82	103	107	145
ANKLE2	363	221	224	291	197
GOLGA3	291	253	163	298	166
CHFR	104	83	42	51	66
LOC101928530	0	0	0	1	0
ZNF605	31	14	30	29	27
ZNF26	11	12	11	8	5
RP11-386I8.6	1	0	0	0	0
ZNF84	25	18	22	22	33
ZNF140	24	25	17	21	18
ZNF891	4	4	0	3	1
ZNF10	10	5	2	7	7
ZNF268	40	33	48	46	34
ANKRD20A9P	1	2	1	0	3
MPHOSPH8	129	98	93	120	130
PSPC1	31	14	12	15	9
ZMYM5	52	32	26	44	48
LOC102724812	1	1	0	0	0
ZMYM2	183	145	141	212	147
GJA3	1	3	3	6	6
GJB2	3262	2334	1464	2068	2365
GJB6	307	389	177	386	347
CRYL1	116	74	61	128	90
IFT88	55	23	30	23	36
IL17D	12	13	26	24	13
N6AMT2	53	35	30	54	22
XPO4	132	102	107	157	95
LATS2	152	112	88	157	75
SAP18	616	443	342	628	533
SKA3	56	55	41	73	90
MRP63	136	107	78	107	146
LOC101928764	0	0	0	1	0
MIPEPP3	2	0	0	1	0
ZDHHC20	67	40	7	31	16
MICU2	270	222	243	273	195
FGF9	0	0	1	0	0
LINC00540	0	0	0	0	0
SACS	545	362	305	220	49
TNFRSF19	4	4	0	4	8
MIPEP	91	80	65	98	133
C1QTNF9B	0	0	0	1	0
SPATA13	6	7	2	14	6
PARP4	93	60	50	52	30
LOC101927375	0	0	0	1	0
TPTE2P6	4	3	0	1	2
ATP12A	1	1	0	1	10
RNF17	0	1	0	0	0
CENPJ	61	33	22	24	24
TPTE2P1	5	0	1	0	2
PABPC3	20	25	11	16	14
AMER2	0	0	1	0	0
MTMR6	220	232	167	199	190
NUPL1	253	208	205	316	183
ATP8A2	2	1	1	3	1
SHISA2	4	1	0	1	2
RNF6	4	1	1	0	3
CDK8	77	52	79	104	61
WASF3	50	49	42	67	46
USP12	98	69	54	87	68
USP12-AS2	1	0	0	0	0
LOC102723332	1	0	0	1	0
RPL21	43	19	78	63	174
RASL11A	1	1	1	0	0
GTF3A	160	137	97	193	110
MTIF3	30	31	31	23	35
LNX2	106	96	111	130	99
POLR1D	183	172	141	192	190
PDX1-AS1	6	3	22	5	28
ATP5EP2	6	1	2	2	0
PAN3	143	134	116	179	141
FLT1	0	2	1	0	0
POMP	1274	1118	798	1309	746
SLC46A3	27	6	7	11	6
MTUS2	4	5	0	6	0
SLC7A1	939	730	600	894	1749
LOC102723345	0	6	2	6	9
UBL3	87	61	83	64	99
LINC00384	1	0	0	0	0
KATNAL1	91	77	76	113	48
HMGB1	530	713	681	696	883
USPL1	48	40	33	44	29
ALOX5AP	16	2	3	4	0
HSPH1	419	430	484	443	613
B3GALTL	36	26	19	14	23
FRY-AS1	0	1	0	0	0
FRY	1	0	0	0	2
ZAR1L	0	1	0	0	0
BRCA2	168	124	85	63	80
N4BP2L1	3	1	4	2	8
N4BP2L2	56	43	41	46	55
PDS5B	151	134	135	147	107
KL	0	0	1	0	2
STARD13	64	56	39	28	29
RFC3	45	24	11	12	17
NBEA	3	1	3	5	0
DCLK1	0	0	1	0	0
SPG20	183	164	180	173	179
CCNA1	36	14	11	13	5
RFXAP	14	12	16	17	9
SMAD9	7	3	4	3	9
ALG5	232	217	138	251	176
EXOSC8	74	47	33	46	59
SUPT20H	115	95	62	96	77
CSNK1A1L	0	0	0	0	0
POSTN	4	29	0	1	23
UFM1	489	463	405	449	343
FREM2	1	0	0	0	8
PROSER1	105	84	69	90	68
NHLRC3	29	17	26	27	26
LHFP	87	87	103	80	64
COG6	7	4	4	4	7
LINC00548	0	0	0	0	1
LINC00598	0	0	0	0	1
FOXO1	157	88	82	140	183
MRPS31	66	54	60	63	51
SLC25A15	0	3	0	1	0
TPTE2P5	0	0	0	0	1
ELF1	249	228	207	213	278
WBP4	111	123	99	127	93
KBTBD6	35	33	53	64	30
LOC101929140	2	0	0	0	1
MTRF1	2	3	3	5	3
NAA16	75	58	34	46	53
OR7E37P	8	8	1	10	5
RGCC	48	43	43	43	40
VWA8	116	101	105	118	86
VWA8-AS1	1	0	0	0	0
DGKH	65	21	26	26	24
AKAP11	333	262	266	248	204
TNFSF11	0	0	2	0	0
EPSTI1	11	11	27	29	113
DNAJC15	239	162	152	143	297
ENOX1	4	3	8	3	8
CCDC122	30	24	35	24	29
LACC1	79	69	93	71	72
SMIM2	0	0	0	0	0
SERP2	4	6	5	4	3
TSC22D1	286	322	270	475	219
TSC22D1-AS1	1	0	1	1	0
NUFIP1	136	102	51	91	102
GPALPP1	37	33	47	34	45
LOC101929259	0	0	0	0	0
GTF2F2	187	202	148	233	194
TPT1	13905	10443	8984	15749	15402
TPT1-AS1	5	1	2	0	4
SLC25A30	88	78	64	97	88
COG3	120	101	92	117	99
SPERT	1	0	1	0	0
SIAH3	0	0	0	1	3
ZC3H13	369	328	268	364	235
LCP1	384	146	43	105	4
RNU6-68P	0	0	1	0	0
LOC101929368	1	2	2	4	3
LRCH1	101	103	75	114	88
ESD	688	577	466	719	492
HTR2A	0	0	0	0	1
SUCLA2	102	102	103	141	112
LOC101929410	8	0	0	1	0
NUDT15	184	216	154	279	173
MED4	157	124	107	159	223
ITM2B	1758	1433	1837	2348	2589
RB1	286	215	320	337	213
RCBTB2	14	22	18	17	14
FNDC3A	128	123	144	129	103
CDADC1	19	25	10	18	21
CAB39L	26	9	14	35	17
SETDB2	18	10	9	17	29
PHF11	84	73	50	88	138
RCBTB1	124	69	76	109	142
ARL11	6	5	4	5	7
EBPL	377	361	277	428	593
KPNA3	246	202	151	166	168
CTAGE10P	0	0	0	0	0
SPRYD7	141	160	157	218	145
LOC102723679	0	0	0	0	0
DLEU2	15	8	6	8	12
DLEU7-AS1	0	0	0	0	0
RNASEH2B	34	47	32	41	30
GUCY1B2	0	0	0	0	0
FAM124A	0	0	0	0	2
SERPINE3	0	0	0	0	0
INTS6	260	249	215	272	184
INTS6-AS1	2	4	4	5	8
WDFY2	35	21	12	17	6
DHRS12	8	6	5	1	2
ATP7B	0	2	2	0	1
ALG11	0	1	2	0	0
UTP14C	65	60	45	80	48
LOC100506859	2	4	1	0	0
NEK5	0	0	1	0	0
LOC101929657	0	0	0	1	1
NEK3	26	13	17	13	13
MRPS31P5	11	2	3	4	5
THSD1	24	7	16	11	35
VPS36	173	116	100	142	201
CKAP2	174	130	238	246	377
TPTE2P3	0	0	1	0	0
HNRNPA1L2	13	11	13	5	17
SUGT1	138	121	97	141	167
LECT1	1	1	0	0	0
PCDH17	1	0	2	0	1
DIAPH3	179	176	87	89	147
DIAPH3-AS1	0	0	0	0	0
TDRD3	36	21	31	26	35
PCDH20	0	0	0	1	0
LINC00358	1	0	0	0	0
PCDH9	4	6	3	1	1
LINC00550	0	0	0	0	0
MZT1	151	173	181	270	185
BORA	25	14	13	13	16
DIS3	190	180	136	166	134
PIBF1	53	45	65	45	26
KLF5	751	1056	497	756	1941
KLF12	72	57	47	58	19
CTAGE11P	0	1	0	0	0
TBC1D4	39	57	72	80	82
COMMD6	411	350	279	520	411
UCHL3	305	381	173	549	217
RP11-173B14.5	0	2	0	2	0
LMO7	49	61	53	60	62
KCTD12	395	270	405	370	89
BTF3P11	8	11	5	6	3
CLN5	96	94	57	90	96
FBXL3	180	169	141	150	173
MYCBP2	419	308	307	262	258
SCEL	23	7	27	19	47
SLAIN1	0	0	0	1	1
RNF219	17	22	6	11	9
RBM26	175	144	95	112	117
RBM26-AS1	0	3	1	3	4
NDFIP2	653	555	672	729	850
LOC102724065	5	5	6	13	4
SPRY2	67	50	35	48	40
SLITRK1	0	0	0	0	1
LINC00333	0	1	0	0	0
SLITRK6	9	59	25	22	1
SLITRK5	1	0	0	0	0
LINC00559	0	1	0	0	0
MIR17HG	8	6	8	16	7
GPC6	5	12	4	6	8
DCT	0	1	0	0	1
TGDS	38	46	85	60	51
GPR180	177	168	155	190	141
LOC101927248	1	0	0	0	1
SOX21	0	0	0	0	5
SOX21-AS1	0	0	0	0	3
LOC101927284	6	0	17	2	25
ABCC4	51	45	57	40	20
DZIP1	31	31	41	41	1
DNAJC3-AS1	1	5	6	18	6
DNAJC3	547	405	282	421	207
UGGT2	92	46	58	40	23
HS6ST3	0	0	0	0	0
OXGR1	1	0	0	0	0
MBNL2	123	97	183	169	217
RAP2A	151	149	131	162	138
IPO5	452	468	464	583	414
FARP1	98	55	59	63	35
STK24	1038	972	765	1272	946
SLC15A1	0	0	0	0	0
DOCK9	177	131	172	145	107
DOCK9-AS2	3	2	1	3	3
UBAC2-AS1	4	4	1	4	5
UBAC2	33	22	31	29	51
TM9SF2	780	655	597	790	587
CLYBL	0	1	1	2	3
ZIC2	0	0	0	1	0
PCCA	13	2	7	7	9
GGACT	33	35	18	40	25
TMTC4	32	29	41	48	45
NALCN	2	0	0	0	0
ITGBL1	18	24	13	33	4
FGF14	3	1	2	3	1
TPP2	254	158	193	201	131
CCDC168	2	2	0	0	0
TEX30	61	47	58	75	81
KDELC1	34	24	14	23	14
BIVM	3	1	0	2	1
ERCC5	6	1	0	3	0
METTL21EP	1	2	0	0	1
SLC10A2	3	0	0	0	0
LINC00460	0	0	0	0	0
EFNB2	513	413	271	312	173
ARGLU1	255	222	180	246	213
LINC00551	0	0	0	1	1
LIG4	43	40	49	35	27
ABHD13	103	78	60	78	76
TNFSF13B	3	1	1	9	6
MYO16	8	7	4	4	0
IRS2	158	130	125	198	131
COL4A1	87	83	73	90	44
COL4A2	222	96	76	88	133
RAB20	10	16	5	19	8
CARKD	78	69	35	100	48
CARS2	65	55	35	42	56
ING1	33	19	23	32	34
LINC00346	0	0	1	0	0
ANKRD10	66	55	52	79	63
RP11-551M15.1	1	0	0	0	0
ARHGEF7	82	71	60	93	65
LINC01043	0	0	0	0	1
TUBGCP3	90	75	71	95	94
ATP11A	116	88	64	92	67
MCF2L	0	0	0	2	0
F10	0	0	0	0	0
PROZ	0	0	1	1	0
PCID2	118	118	96	199	153
CUL4A	250	255	209	346	242
LAMP1	604	468	239	626	555
GRTP1	13	12	12	10	30
ADPRHL1	2	1	2	2	2
DCUN1D2	26	17	11	7	13
TMCO3	156	162	200	237	158
TFDP1	423	487	381	475	554
TMEM255B	2	2	1	4	3
GAS6	0	0	1	0	0
GAS6-AS2	12	20	7	9	7
RASA3	106	59	24	70	16
CDC16	109	99	90	60	87
UPF3A	43	19	14	26	30
CHAMP1	166	108	70	83	77
TRAC	30	14	10	31	5
POTEM	2	3	0	5	0
LOC440157	0	1	0	4	0
TTC5	46	41	26	69	20
CCNB1IP1	47	43	28	39	38
RPPH1	2	1	1	2	0
PARP2	65	46	50	39	59
TEP1	78	41	50	75	26
OSGEP	26	17	5	8	15
APEX1	405	440	249	512	271
TMEM55B	62	50	15	50	45
PNP	454	412	161	364	168
RNASE10	1	0	0	0	0
RP11-14J7.6	0	0	0	0	0
TRNAL15	0	1	0	2	0
RNASE4	31	33	15	36	43
EDDM3B	0	0	0	0	0
RNASE1	0	2	0	0	0
METTL17	22	23	11	24	9
RP11-84C10.4	2	0	0	2	3
SLC39A2	0	0	0	0	1
NDRG2	8	0	0	3	4
ARHGEF40	53	22	17	24	26
ZNF219	16	6	2	4	2
LINC00641	44	43	11	26	10
HNRNPC	1397	1567	695	2012	1122
RPGRIP1	1	2	0	0	0
SUPT16H	513	493	294	452	358
CHD8	269	113	94	131	93
RAB2B	76	76	42	91	33
TOX4	82	53	32	49	68
METTL3	8	6	6	11	6
SALL2	7	7	4	8	11
DAD1	682	616	529	743	490
ABHD4	49	35	18	81	37
OXA1L	250	155	125	191	259
SLC7A7	1	1	0	0	3
MRPL52	169	102	36	87	51
MMP14	121	51	25	56	19
LRP10	229	178	76	165	131
REM2	4	1	0	2	0
RBM23	142	123	73	220	103
PRMT5	243	102	141	109	139
HAUS4	2	3	1	4	3
AJUBA	870	838	613	1002	536
LOC102724795	2	3	0	2	1
C14orf93	12	12	3	8	7
PSMB5	29	17	16	17	18
CDH24	5	5	2	12	11
LOC102723563	0	0	0	0	1
ACIN1	142	55	24	34	29
C14orf119	220	144	148	168	159
SLC7A8	397	303	187	299	631
C14orf164	8	8	7	1	4
HOMEZ	38	30	14	38	30
PPP1R3E	11	6	5	8	9
SLC22A17	10	2	2	10	15
EFS	20	11	9	28	43
IL25	0	0	0	0	1
NGDN	83	61	73	84	106
THTPA	12	6	4	14	11
AP1G2	106	82	23	114	43
DHRS2	0	0	0	1	0
DHRS4-AS1	63	68	72	136	88
DHRS4	5	1	2	9	7
DHRS4L2	8	13	1	6	14
DHRS4L1	2	0	1	0	0
NRL	0	1	0	0	0
PCK2	0	0	0	0	0
DCAF11	31	36	15	53	43
FITM1	0	0	0	1	0
PSME1	280	187	183	437	456
EMC9	14	13	2	11	7
PSME2	85	51	64	64	84
RNF31	6	7	6	7	10
IRF9	62	29	14	42	150
REC8	7	5	3	5	13
IPO4	44	38	17	30	28
TM9SF1	204	203	148	265	207
TSSK4	2	3	0	3	0
CHMP4A	54	53	28	65	68
MDP1	2	4	0	0	0
NEDD8	4	1	0	0	2
GMPR2	0	1	1	1	1
TINF2	5	10	3	9	3
TGM1	3	5	2	6	31
RABGGTA	27	23	7	24	16
DHRS1	243	190	172	366	369
NOP9	3	14	5	12	7
LTB4R	10	4	6	4	20
RIPK3	2	2	0	1	2
NFATC4	7	4	4	8	0
NYNRIN	89	40	22	56	48
CBLN3	8	5	1	4	3
KHNYN	68	71	59	70	40
LOC101927045	2	0	1	2	1
STXBP6	0	0	1	1	26
NOVA1	7	2	0	3	0
FOXG1	0	0	0	1	0
PRKD1	2	2	1	4	3
G2E3	142	122	153	187	164
SCFD1	164	157	148	157	120
RP11-829H16.3	0	0	0	0	0
STRN3	99	41	28	101	54
AP4S1	32	35	21	30	22
HECTD1	543	388	341	383	300
HEATR5A	81	81	82	79	63
LOC101927124	0	0	0	0	0
DTD2	3	0	0	0	0
NUBPL	92	85	52	118	98
ARHGAP5-AS1	16	8	9	8	4
ARHGAP5	557	511	497	511	532
AKAP6	16	6	11	7	5
NPAS3	0	0	1	0	0
EGLN3	13	11	29	62	24
SPTSSA	337	300	408	524	443
EAPP	156	133	135	153	144
LOC102723306	2	3	1	1	1
SNX6	280	262	295	367	319
CFL2	161	107	80	132	62
BAZ1A	392	364	418	461	452
LOC100506157	2	3	0	0	2
SRP54	421	378	327	569	319
FAM177A1	168	160	126	132	130
PPP2R3C	43	24	24	30	17
LOC101927178	0	0	0	2	0
KIAA0391	139	108	108	176	109
PSMA6	77	79	76	54	60
NFKBIA	205	162	169	232	194
RALGAPA1	26	12	27	20	41
BRMS1L	57	65	67	95	57
MBIP	72	65	51	71	100
NKX2-8	0	0	0	0	2
PAX9	0	0	1	4	3
SLC25A21	0	0	0	0	1
SLC25A21-AS1	4	2	3	4	1
MIPOL1	22	29	28	31	21
FOXA1	0	0	0	0	0
LOC102723503	0	0	0	0	1
LINC00639	4	3	2	2	0
SEC23A	393	400	414	507	263
GEMIN2	44	38	35	47	41
TRAPPC6B	84	77	71	100	96
PNN	357	312	306	363	256
CTAGE5	73	74	76	68	50
FBXO33	73	54	58	54	34
LOC644919	0	0	0	4	0
C14orf28	0	2	0	0	0
KLHL28	93	67	50	91	84
FAM179B	40	30	28	31	31
PRPF39	117	131	100	131	119
FKBP3	352	248	319	340	419
FANCM	38	28	37	33	41
MIS18BP1	173	133	200	145	225
RPL10L	11	14	2	8	8
MDGA2	0	0	1	0	1
RPS29	3682	1889	816	1784	1147
LRR1	140	114	75	130	127
RPL36AL	233	161	176	142	265
MGAT2	129	154	126	143	125
DNAAF2	64	69	57	81	73
POLE2	62	74	49	63	66
KLHDC1	0	0	3	5	2
KLHDC2	97	46	38	44	54
NEMF	135	111	115	108	132
ARF6	717	815	892	1308	1415
C14orf182	0	1	0	0	1
RP11-58E21.3	2	0	0	1	0
VCPKMT	11	9	2	7	3
SOS2	93	96	89	74	81
L2HGDH	28	20	28	40	32
ATP5S	49	37	19	24	30
CDKL1	6	6	3	9	11
MAP4K5	228	190	156	174	156
ATL1	3	2	3	2	22
SAV1	111	143	108	116	89
NIN	128	108	94	103	84
ABHD12B	4	8	6	0	2
PYGL	521	378	493	546	656
TRIM9	2	2	2	0	0
TMX1	417	359	329	384	350
LINC00640	1	1	1	0	1
FRMD6-AS2	1	0	0	0	0
FRMD6	664	594	524	460	412
RP11-280K24.4	0	0	1	0	1
GNG2	2	1	0	2	2
C14orf166	343	245	221	333	342
NID2	1	5	1	2	4
PTGER2	0	1	0	2	0
