"lako1"	"lako2"	"lako3"	"lako4"
"AC130324.3"	1	1	6	8
"ADAP2"	9	5	4	15
"RNF135"	159	91	101	317
"AC138207.4"	5	4	5	7
"AC138207.7"	4	13	6	15
"AC138207.2"	3	3	4	8
"NF1"	580	367	602	1062
"AC079915.1"	23	14	29	33
"OMG"	0	1	0	0
"EVI2B"	3	0	0	15
"EVI2A"	1	0	1	4
"RAB11FIP4"	58	39	46	79
"AC003101.2"	77	27	17	31
"COPRS"	689	541	438	1115
"UTP6"	427	216	293	512
"SUZ12"	589	392	537	1006
"LRRC37B"	27	27	31	56
"AC116407.2"	53	39	19	74
"AC116407.1"	8	7	6	10
"RHOT1"	260	135	216	460
"RHBDL3"	0	0	6	1
"C17orf75"	228	184	146	345
"ZNF207"	2421	1294	2080	3524
"AC005899.6"	23	22	30	41
"AC005899.7"	15	12	24	38
"AC005899.5"	17	8	27	40
"AC005899.8"	9	11	33	21
"AC005899.1"	1	1	4	2
"PSMD11"	1276	785	988	1809
"CDK5R1"	13	9	21	16
"MYO1D"	128	95	114	238
"AC079336.5"	4	1	4	6
"AC079336.2"	1	0	0	4
"AC025211.1"	11	13	21	17
"AC084809.1"	11	4	10	24
"AC084809.2"	2	7	2	5
"TMEM98"	115	159	160	430
"ASIC2"	1	0	2	8
"CCL2"	246	191	57	184
"CCL7"	0	0	0	0
"CCL11"	0	0	0	0
"CCL8"	2	1	0	5
"CCL13"	0	0	0	0
"CCT6B"	184	111	112	233
"ZNF830"	549	385	314	562
"LIG3"	161	124	81	222
"RFFL"	196	112	214	326
"AC004223.4"	0	0	5	1
"AC004223.2"	2	0	6	4
"RAD51D"	83	43	47	173
"NLE1"	68	36	32	87
"UNC45B"	1	6	6	4
"AC022916.1"	17	8	9	16
"SLFN5"	506	172	472	706
"AC022706.1"	0	0	0	0
"SLFN11"	7	7	12	28
"AC060766.4"	8	0	0	8
"SLFN12"	115	33	33	126
"SLFN13"	62	22	28	142
"SLFN12L"	11	1	0	7
"SNHG30"	318	293	198	604
"PEX12"	52	22	21	72
"AP2B1"	728	761	916	1570
"TAF15"	1105	577	585	1622
"RASL10B"	1	3	2	1
"MMP28"	1111	462	738	1950
"AC006237.1"	4	4	0	4
"AC015849.3"	6	1	4	10
"AC015849.4"	18	7	5	12
"AC015849.1"	1	2	0	0
"CCL5"	6	3	2	20
"RDM1"	11	5	10	28
"CCL16"	0	0	0	0
"CCL14"	7	3	4	23
"CCL15"	0	0	0	0
"CCL23"	0	1	0	3
"CCL18"	0	0	0	1
"AC243829.4"	0	0	1	0
"CCL3"	52	4	5	19
"CCL4"	37	4	0	14
"AC243829.2"	11	3	13	19
"AC243829.1"	1	1	0	0
"CCL3L1"	30	8	5	11
"CCL4L2"	18	3	2	5
"ZNHIT3"	719	532	548	1064
"MYO19"	377	167	190	703
"PIGW"	92	55	77	187
"GGNBP2"	1208	754	972	1875
"DHRS11"	80	47	35	87
"MRM1"	32	13	12	49
"AC243830.2"	2	0	0	2
"LHX1"	0	0	0	0
"AATF"	498	259	309	598
"AC244093.4"	4	3	2	3
"ACACA"	190	102	118	346
"C17orf78"	0	0	0	0
"TADA2A"	134	79	74	247
"DUSP14"	752	830	1022	1063
"SYNRG"	274	142	169	397
"AC243585.2"	2	1	1	2
"DDX52"	673	311	381	917
"AC243571.2"	1	0	2	0
"TBC1D3L"	10	4	6	0
"MRPL45"	367	274	327	608
"GPR179"	1	0	0	0
"SOCS7"	82	75	84	251
"ARHGAP23"	209	261	367	687
"AC244153.1"	33	28	66	98
"SRCIN1"	2	2	5	1
"EPOP"	44	48	55	47
"AC006449.6"	90	64	66	119
"AC006449.2"	15	23	19	26
"MLLT6"	280	212	238	584
"AC006449.3"	2	2	2	1
"CISD3"	555	240	356	953
"PCGF2"	308	235	292	427
"AC006449.5"	7	2	5	5
"PSMB3"	3122	1800	1635	4931
"PIP4K2B"	118	83	75	288
"CWC25"	682	454	499	802
"C17orf98"	2	2	1	0
"RPL23"	13824	12373	17155	28621
"LASP1"	137	133	165	280
"AC006441.1"	2	0	0	1
"LINC00672"	6	8	21	35
"PLXDC1"	3	3	1	11
"CACNB1"	21	5	7	22
"RPL19"	39048	35544	34125	72205
"STAC2"	1	0	1	4
"FBXL20"	117	95	115	231
"AC005288.1"	1	1	1	2
"MED1"	329	190	269	513
"CDK12"	697	393	548	921
"AC009283.1"	21	8	25	42
"NEUROD2"	2	0	4	0
"AC087491.1"	1	3	2	4
"PPP1R1B"	83	141	375	108
"STARD3"	174	91	114	329
"TCAP"	4	2	6	9
"PNMT"	1	1	1	0
"PGAP3"	72	42	38	214
"ERBB2"	358	208	271	830
"MIEN1"	1259	716	697	1692
"GRB7"	1107	762	920	1424
"IKZF3"	5	4	11	11
"GSDMB"	39	22	18	72
"ORMDL3"	485	227	172	579
"AC090844.2"	0	1	3	4
"GSDMA"	0	0	0	0
"PSMD3"	745	420	429	1091
"CSF3"	41	6	12	5
"MED24"	1057	420	839	1176
"THRA"	123	218	165	291
"NR1D1"	1844	2047	3442	2923
"MSL1"	402	363	469	672
"CASC3"	381	243	233	584
"RAPGEFL1"	336	159	284	677
"WIPF2"	721	293	556	804
"CDC6"	65	11	30	104
"RARA"	164	144	142	242
"AC080112.4"	10	5	1	2
"RARA-AS1"	98	52	35	104
"GJD3"	0	0	0	2
"AC080112.1"	3	0	2	3
"TOP2A"	544	307	383	769
"IGFBP4"	127	246	231	365
"TNS4"	2359	2014	1680	3612
"AC004585.1"	21	16	13	16
"CCR7"	2	1	0	2
"SMARCE1"	1505	874	1008	2469
"AC073508.3"	37	10	24	57
"KRT222"	462	338	340	692
"KRT24"	253	293	433	818
"KRT27"	303	151	243	621
"KRT10"	4066	3628	2806	8073
"TMEM99"	464	296	305	661
"AC004231.3"	22	13	18	15
"KRT12"	211789	66957	98042	221087
"KRT20"	1	0	0	1
"AC004231.1"	4	2	4	3
"KRT23"	86	40	20	101
"KRT39"	0	1	2	5
"KRT40"	11	23	10	9
"KRTAP3-2"	14	27	1	10
"KRTAP3-1"	1	38	75	35
"KRTAP4-8"	1	0	2	0
"KRTAP4-9"	0	0	8	12
"KRTAP4-12"	0	0	7	0
"KRTAP4-6"	0	0	15	2
"KRTAP4-2"	1	0	0	0
"KRTAP4-1"	0	0	0	1
"KRTAP17-1"	4	1	2	0
"KRT33A"	0	0	0	1
"KRT33B"	3	7	7	14
"KRT34"	8	4	4	7
"KRT31"	83	87	78	201
"AC003958.2"	5	0	3	6
"KRT32"	16	21	35	22
"KRT36"	0	1	1	2
"KRT13"	1927	1898	2485	4832
"AC019349.1"	9	8	9	26
"KRT15"	13879	15620	19022	39436
"KRT19"	5123	7220	8256	17947
"KRT9"	19	18	28	27
"KRT14"	64377	74757	44069	166595
"KRT16"	775	1138	951	1121
"KRT17"	9287	17123	12932	13560
"EIF1"	37184	32245	29415	57225
"GAST"	3	0	6	1
"HAP1"	12	12	44	25
"JUP"	3111	1892	2802	5031
"P3H4"	101	38	56	162
"FKBP10"	53	28	20	46
"NT5C3B"	232	181	141	331
"KLHL10"	0	0	2	0
"KLHL11"	32	10	13	27
"ACLY"	213	101	166	362
"TTC25"	11	2	1	7
"CNP"	241	119	172	439
"DNAJC7"	1750	738	843	1826
"NKIRAS2"	274	140	184	391
"ZNF385C"	3	2	4	10
"C17orf113"	12	13	3	12
"DHX58"	68	29	31	115
"KAT2A"	154	82	89	294
"HSPB9"	2	1	0	3
"RAB5C"	1203	622	728	1646
"HCRT"	0	0	0	0
"GHDC"	94	49	51	151
"STAT5B"	112	74	64	195
"AC099811.4"	0	0	0	1
"AC099811.1"	1	2	1	0
"AC099811.5"	2	2	0	2
"STAT5A"	48	32	47	80
"STAT3"	1022	647	634	1598
"CAVIN1"	2278	1449	2208	3739
"ATP6V0A1"	783	315	446	813
"AC107993.1"	103	32	63	63
"AC067852.3"	76	28	42	69
"NAGLU"	126	47	77	203
"HSD17B1"	91	44	49	129
"AC067852.2"	43	13	29	80
"COASY"	248	144	220	547
"MLX"	353	184	255	552
"PSMC3IP"	65	25	25	110
"AC067852.5"	29	29	11	37
"RETREG3"	321	150	208	588
"TUBG1"	533	247	255	853
"TUBG2"	108	76	83	220
"PLEKHH3"	871	428	478	1435
"CCR10"	6	6	5	9
"AC100793.2"	2	4	6	8
"CNTNAP1"	6	2	2	6
"EZH1"	167	97	95	236
"AC100793.4"	1	0	2	1
"RAMP2-AS1"	7	12	12	4
"RAMP2"	18	40	27	39
"VPS25"	794	370	464	1280
"WNK4"	4	1	2	3
"COA3"	1300	728	985	2512
"CNTD1"	14	12	13	16
"BECN1"	528	359	466	952
"PSME3"	529	263	373	811
"AOC2"	13	12	18	21
"AOC3"	8	3	4	6
"AARSD1"	518	262	259	617
"PTGES3L"	1	1	0	2
"RUNDC1"	187	84	87	254
"RPL27"	18765	16208	15859	31561
"IFI35"	183	141	150	481
"VAT1"	437	293	270	796
"RND2"	201	177	89	244
"BRCA1"	145	54	45	266
"NBR2"	102	75	41	140
"AC060780.1"	132	87	70	206
"NBR1"	726	380	442	1131
"TMEM106A"	34	32	49	44
"CCDC200"	2	0	2	1
"LINC00910"	35	20	22	65
"ARL4D"	4837	1985	4224	5876
"DHX8"	292	164	204	471
"ETV4"	417	190	384	701
"MEOX1"	7	17	18	27
"LINC02594"	1	0	0	3
"SOST"	2	0	0	0
"DUSP3"	205	227	246	345
"CFAP97D1"	0	0	1	0
"MPP3"	41	17	11	38
"CD300LG"	0	0	0	0
"MPP2"	10	9	12	22
"PYY"	1	0	3	0
"NAGS"	104	27	42	98
"TMEM101"	407	208	269	643
"LSM12"	834	500	664	1134
"G6PC3"	400	208	285	590
"HDAC5"	211	222	230	352
"AC023855.1"	0	2	0	1
"C17orf53"	22	11	15	40
"ASB16"	0	0	0	2
"ASB16-AS1"	44	46	30	117
"TMUB2"	330	178	226	495
"ATXN7L3"	142	114	125	301
"AC004596.1"	0	0	1	1
"UBTF"	544	235	263	907
"AC003102.1"	18	22	19	42
"SLC4A1"	3	21	4	4
"RUNDC3A-AS1"	0	1	8	7
"RUNDC3A"	13	9	7	13
"SLC25A39"	759	381	462	1335
"GRN"	2148	1093	1476	3862
"FAM171A2"	75	23	14	62
"ITGA2B"	15	4	7	12
"GPATCH8"	777	482	632	1336
"AC103703.1"	102	23	39	80
"FZD2"	3	7	5	7
"MEIOC"	5	1	1	11
"CCDC43"	370	177	277	618
"AC091152.2"	1	0	3	5
"DBF4B"	42	17	6	45
"ADAM11"	3	3	3	3
"GJC1"	4	0	3	4
"HIGD1B"	0	1	1	1
"EFTUD2"	299	152	193	444
"GFAP"	1	0	0	0
"KIF18B"	14	6	13	19
"AC015936.1"	1	0	0	0
"C1QL1"	15	21	9	19
"DCAKD"	321	207	325	524
"NMT1"	633	719	810	1687
"PLCD3"	165	126	233	478
"ACBD4"	49	32	31	99
"AC142472.1"	41	38	31	97
"HEXIM1"	548	439	622	979
"AC138150.1"	28	26	30	153
"HEXIM2"	202	85	73	226
"AC138150.2"	46	18	19	70
"AC008105.3"	7	5	9	11
"FMNL1"	8	3	8	7
"AC008105.1"	6	10	11	7
"MAP3K14-AS1"	30	19	20	45
"MAP3K14"	61	74	76	111
"AC003070.2"	1	7	2	1
"ARHGAP27"	159	115	198	354
"PLEKHM1"	463	322	440	575
"AC091132.4"	9	3	15	31
"CRHR1"	0	0	2	0
"MAPT"	23	3	5	9
"MAPT-IT1"	1	0	0	0
"KANSL1"	1541	920	902	1643
"CR936218.1"	4	8	3	7
"KANSL1-AS1"	417	479	270	871
"ARL17B"	114	129	99	234
"LRRC37A"	2	0	1	4
"LRRC37A2"	37	30	55	96
"ARL17A"	101	110	92	122
"FAM215B"	100	105	86	133
"NSF"	154	88	84	269
"WNT3"	298	83	128	331
"AC005670.1"	0	1	2	5
"GOSR2"	508	252	294	707
"RPRML"	47	3	3	29
"AC005670.3"	166	119	103	277
"CDC27"	404	244	307	696
"AC002558.3"	162	58	62	158
"MYL4"	1	1	1	0
"ITGB3"	0	0	0	0
"AC068234.3"	0	0	0	1
"AC068234.2"	2	2	1	0
"EFCAB13"	10	5	5	10
"NPEPPS"	2636	1115	1776	3139
"AC025682.1"	12	7	6	7
"KPNB1"	1862	969	1395	2638
"TBKBP1"	14	15	32	39
"TBX21"	0	0	0	1
"OSBPL7"	29	20	13	42
"MRPL10"	245	139	163	346
"LRRC46"	2	0	2	3
"SCRN2"	279	113	134	361
"SP6"	2	4	3	10
"AC018521.7"	0	0	0	1
"AC018521.5"	279	131	215	495
"SP2"	99	81	124	177
"SP2-AS1"	33	16	16	54
"PNPO"	233	131	130	336
"AC018521.2"	3	2	3	5
"PRR15L"	10	2	8	9
"CDK5RAP3"	434	318	276	778
"COPZ2"	319	258	330	786
"AC004477.1"	36	23	9	37
"NFE2L1"	933	762	744	1763
"AC004477.3"	2	0	0	4
"CBX1"	743	397	390	937
"SNX11"	118	55	74	148
"SKAP1"	1	0	0	1
"HOXB2"	5	2	0	7
"HOXB-AS1"	10	2	1	12
"HOXB3"	0	1	0	0
"HOXB-AS3"	0	0	0	0
"HOXB4"	1	0	0	2
"HOXB7"	0	1	1	1
"HOXB9"	0	0	0	0
"PRAC1"	0	0	0	0
"PRAC2"	0	0	0	1
"TTLL6"	0	0	1	1
"CALCOCO2"	773	537	579	1181
"ATP5MC1"	2567	1696	1730	4416
"UBE2Z"	643	444	707	1111
"SNF8"	1249	640	572	1681
"AC091133.1"	0	0	2	1
"IGF2BP1"	1	0	2	1
"B4GALNT2"	2	4	0	19
"GNGT2"	0	0	0	0
"ABI3"	2	0	0	7
"PHOSPHO1"	0	0	0	0
"AC004797.1"	2	1	2	5
"ZNF652"	708	311	291	1320
"AC091180.2"	3	0	1	6
"PHB"	1176	614	596	1780
"AC091180.3"	1	2	3	0
"NGFR"	54	62	86	131
"NXPH3"	4	1	2	5
"SPOP"	572	325	368	790
"SLC35B1"	615	381	308	884
"FAM117A"	94	70	134	168
"KAT7"	260	207	224	534
"FLJ45513"	0	0	0	4
"DLX4"	141	125	126	248
"DLX3"	182	99	103	263
"PICART1"	4	5	2	9
"ITGA3"	1579	599	1027	2760
"AC002401.4"	6	0	4	25
"PDK2"	640	360	419	882
"SAMD14"	3	0	1	2
"PPP1R9B"	132	79	98	297
"AC015909.2"	2	4	2	1
"SGCA"	20	7	33	52
"COL1A1"	72	45	83	110
"AC015909.1"	0	0	0	0
"TMEM92"	4	11	7	4
"TMEM92-AS1"	0	0	0	0
"XYLT2"	137	72	175	346
"MRPL27"	1105	617	707	1759
"EME1"	33	14	7	22
"LRRC59"	764	427	550	797
"ACSF2"	101	87	95	169
"CHAD"	0	0	0	3
"RSAD1"	177	85	67	256
"MYCBPAP"	0	5	3	5
"AC021491.2"	2	0	0	0
"EPN3"	98	32	51	171
"SPATA20"	137	93	97	220
"CACNA1G"	2	1	1	1
"ABCC3"	105	244	112	321
"ANKRD40"	233	192	288	344
"AC005921.2"	103	123	185	202
"LUC7L3"	2845	1656	1953	3530
"ANKRD40CL"	1	2	0	0
"AC005921.4"	0	0	0	0
"WFIKKN2"	1	7	18	7
"TOB1"	3686	3170	5033	6921
"TOB1-AS1"	99	59	37	129
"AC005920.1"	2	0	6	1
"AC005920.3"	0	1	0	1
"SPAG9"	2187	1756	3164	3108
"AC005920.2"	3	2	1	0
"NME1"	1895	818	767	2849
"NME2"	16182	11118	7927	24691
"MBTD1"	151	92	104	268
"AC006141.1"	204	67	100	162
"UTP18"	554	395	467	822
"LINC02071"	0	0	3	0
"LINC02073"	10	0	0	3
"CA10"	0	1	0	0
"AC034268.2"	0	0	0	0
"TOM1L1"	666	187	383	677
"COX11"	465	391	377	843
"AC007485.1"	1	0	8	4
"STXBP4"	74	32	25	98
"HLF"	1242	488	514	1784
"AC007638.2"	0	1	1	5
"MMD"	42	38	28	73
"TMEM100"	1154	350	625	1304
"PCTP"	128	51	69	290
"ANKFN1"	1	0	0	0
"NOG"	0	2	0	2
"C17orf67"	266	45	26	129
"AC106858.1"	1	1	0	4
"DGKE"	246	76	103	250
"TRIM25"	185	59	86	360
"AC015912.3"	201	100	150	255
"COIL"	573	226	238	655
"SCPEP1"	511	432	331	669
"AC004584.3"	8	0	0	6
"AC007114.1"	110	71	84	181
"AKAP1"	388	195	238	702
"AC007114.2"	40	30	23	67
"MSI2"	1961	1365	1641	3998
"AC015845.2"	0	0	0	2
"MRPS23"	825	475	471	1299
"CUEDC1"	116	78	131	201
"AC015813.4"	0	1	1	1
"VEZF1"	559	322	505	943
"AC015813.1"	47	24	65	90
"SRSF1"	1375	714	955	1916
"DYNLL2"	1315	805	760	1759
"OR4D1"	0	0	0	0
"AC005962.1"	0	1	2	5
"MKS1"	85	49	56	135
"LPO"	2	1	1	0
"AC005962.2"	21	9	5	17
"MPO"	0	0	0	0
"TSPOAP1"	26	33	31	70
"TSPOAP1-AS1"	12	9	17	11
"AC004687.1"	0	0	1	1
"SUPT4H1"	927	592	629	1480
"RNF43"	161	99	121	403
"MTMR4"	252	135	129	407
"SEPTIN4-AS1"	16	7	8	21
"SEPTIN4"	12	10	13	17
"TEX14"	11	10	15	3
"RAD51C"	440	236	264	683
"PPM1E"	8	10	7	15
"AC100832.2"	2	2	2	0
"TRIM37"	227	108	118	445
"AC099850.1"	11	4	5	20
"SKA2"	578	463	532	1175
"PRR11"	87	41	55	87
"SMG8"	78	29	31	95
"GDPD1"	32	22	16	30
"YPEL2"	403	96	163	476
"LINC01476"	0	0	1	3
"DHX40"	359	313	370	701
"AC091271.1"	290	132	236	544
"CLTC"	967	479	846	1581
"PTRH2"	329	268	266	388
"VMP1"	7535	7210	9943	14540
"AC040904.1"	11	10	14	15
"TUBD1"	143	118	174	256
"RPS6KB1"	563	258	331	794
"RNFT1"	213	123	124	284
"RNFT1-DT"	112	60	62	124
"HEATR6"	87	36	26	149
"AC025048.4"	5	0	6	6
"AC025048.2"	10	9	3	16
"CA4"	1	1	0	8
"USP32"	238	135	149	275
"C17orf64"	0	0	0	0
"APPBP2"	328	186	263	550
"AC011921.1"	22	3	3	22
"PPM1D"	152	99	189	207
"BCAS3"	125	86	112	237
"AC005884.1"	2	1	0	1
"AC005856.1"	2	0	2	8
"AC005746.2"	0	0	0	0
"TBX2-AS1"	4	4	1	1
"TBX2"	9	6	3	13
"C17orf82"	1	1	0	4
"NACA2"	102	11	9	32
"BRIP1"	26	15	25	73
"INTS2"	138	64	96	242
"MED13"	797	543	1240	1072
"AC018628.2"	0	1	4	4
"EFCAB3"	0	0	0	0
"METTL2A"	261	113	132	255
"TLK2"	290	166	217	451
"AC008026.3"	3	2	5	13
"AC080038.2"	1	0	1	2
"AC080038.1"	46	16	7	61
"MRC2"	801	161	252	976
"AC005821.1"	3	2	1	5
"MARCH10"	1	2	2	3
"AC005972.3"	2	1	2	2
"TANC2"	221	128	181	453
"CYB561"	264	84	145	439
"AC005828.5"	0	0	0	0
"ACE"	4	1	2	1
"KCNH6"	1	0	0	0
"DCAF7"	418	263	381	761
"TACO1"	201	71	84	238
"MAP3K3"	99	73	77	160
"STRADA"	169	76	102	340
"LIMD2"	6	7	16	25
"CCDC47"	1934	1083	1175	2562
"DDX42"	914	399	475	1201
"FTSJ3"	324	95	168	431
"PSMC5"	2748	1505	1294	4088
"SMARCD2"	770	341	439	1262
"CD79B"	1	0	0	1
"PRR29-AS1"	3	3	5	7
"PRR29"	2	0	0	0
"ICAM2"	1	1	1	3
"ERN1"	254	113	114	184
"SNHG25"	658	1269	1425	1651
"TEX2"	187	123	232	392
"PECAM1"	2	4	0	18
"MILR1"	7	2	9	9
"POLG2"	151	89	199	343
"DDX5"	11478	8229	12134	17643
"CEP95"	433	235	301	654
"SMURF2"	278	205	328	471
"LRRC37A3"	35	13	17	45
"AC103810.2"	5	2	12	14
"AC103810.5"	2	2	1	1
"AC037487.1"	3	0	1	3
"GNA13"	585	326	534	668
"AC037487.2"	12	0	4	7
"RGS9"	296	223	147	337
"AXIN2"	13	15	32	38
"CEP112"	5	19	8	27
"PRKCA"	64	37	47	75
"CACNG4"	176	101	160	367
"CACNG1"	4	0	3	2
"HELZ"	556	332	561	844
"AC007448.5"	3	2	4	8
"AC007448.4"	44	19	33	77
"PSMD12"	1320	863	817	1704
"PITPNC1"	337	224	274	405
"AC110921.1"	3	1	5	8
"AC079331.3"	0	0	0	0
"NOL11"	430	237	339	630
"BPTF"	1230	642	857	1738
"C17orf58"	84	62	51	190
"KPNA2"	798	470	769	911
"AC145343.1"	13	2	6	17
"AC005332.6"	88	68	68	201
"AC005332.3"	14	17	29	48
"AC005332.5"	14	17	16	37
"AC005332.7"	2	0	2	6
"AC005332.2"	0	2	0	0
"AC005332.4"	22	19	24	38
"AC005332.1"	9	11	5	6
"AMZ2"	309	268	338	571
"ARSG"	103	37	62	141
"SLC16A6"	79	32	48	95
"AC007780.1"	3	1	0	4
"WIPI1"	128	86	81	243
"PRKAR1A"	1276	925	1510	2387
"FAM20A"	11	7	6	39
"ABCA8"	12	38	33	50
"ABCA9-AS1"	0	0	0	0
"ABCA9"	11	3	15	18
"ABCA6"	28	21	33	45
"ABCA10"	18	12	37	48
"ABCA5"	484	267	486	879
"MAP2K6"	133	81	103	226
"AC002546.1"	0	0	0	0
"LINC01483"	1	0	1	2
"LINC01497"	1	0	0	0
"KCNJ2-AS1"	14	12	7	26
"KCNJ2"	49	63	58	143
"LINC01152"	0	2	5	9
"SOX9-AS1"	18	35	32	37
"SOX9"	722	559	1166	1267
"LINC00511"	417	435	499	1076
"AC007639.1"	2	2	1	2
"AC080037.2"	3	2	3	2
"SLC39A11"	149	90	128	272
"SSTR2"	14	8	23	16
"COG1"	178	92	106	291
"AC097641.2"	0	0	0	3
"FAM104A"	513	246	306	703
"C17orf80"	135	44	59	167
"CDC42EP4"	509	991	988	1827
"SDK2"	7	19	30	184
"AC124804.1"	0	0	0	0
"RPL38"	15220	18568	19102	31290
"AC100786.1"	10	16	13	20
"TTYH2"	6	8	5	15
"KIF19"	3	3	3	3
"GPRC5C"	593	486	486	963
"CD300A"	1	0	1	3
"CD300LB"	0	0	0	0
"CD300C"	1	0	0	0
"C17orf77"	1	0	3	0
"AC064805.1"	0	2	0	3
"CD300E"	0	1	1	0
"AC064805.2"	0	0	0	0
"RAB37"	1	1	1	4
"SLC9A3R1"	492	396	504	1036
"NAT9"	257	155	136	279
"TMEM104"	23	17	15	53
"GRIN2C"	0	0	2	3
"FDXR"	333	87	169	469
"FADS6"	3	1	1	1
"USH1G"	17	9	10	52
"OTOP2"	27	9	26	68
"OTOP3"	4	5	15	2
"HID1"	3	1	4	5
"HID1-AS1"	0	0	0	0
"CDR2L"	22	32	32	28
"MRPL58"	356	182	194	601
"KCTD2"	59	66	66	139
"ATP5PD"	3819	2619	2261	6292
"SLC16A5"	101	59	121	189
"ARMC7"	100	44	53	127
"NT5C"	1940	912	1087	2895
"JPT1"	2816	1475	2384	4516
"AC022211.3"	1	2	0	3
"AC022211.1"	1	0	0	2
"SUMO2"	8952	6650	7517	16150
"NUP85"	181	134	130	392
"GGA3"	103	57	91	212
"MRPS7"	1052	561	569	1574
"MIF4GD"	244	142	126	383
"AC022211.2"	11	3	2	7
"SLC25A19"	70	24	29	67
"GRB2"	604	378	362	961
"AC011933.2"	0	0	2	0
"AC011933.3"	4	0	0	0
"TMEM94"	40	28	43	146
"CASKIN2"	95	56	79	141
"TSEN54"	188	86	87	289
"LLGL2"	219	113	109	318
"MYO15B"	18	23	37	49
"RECQL5"	108	46	55	145
"SMIM5"	123	65	57	127
"SMIM6"	4	0	3	1
"SAP30BP"	733	485	627	975
"AC087749.1"	1	1	1	0
"ITGB4"	1290	730	1285	3374
"GALK1"	132	47	56	139
"H3F3B"	23316	19373	21020	46013
"UNK"	126	103	106	253
"UNC13D"	6	2	5	11
"WBP2"	799	504	629	1164
"TRIM47"	201	155	186	582
"AC087289.5"	0	0	4	9
"TRIM65"	43	19	23	121
"AC087289.2"	3	2	0	2
"MRPL38"	636	370	343	977
"FBF1"	62	52	31	90
"ACOX1"	214	156	177	353
"AC087289.4"	0	0	0	0
"TEN1"	543	338	472	845
"CDK3"	28	20	14	44
"EVPL"	940	379	677	1874
"SRP68"	1032	480	755	1292
"GALR2"	3	1	3	5
"EXOC7"	295	153	197	527
"FOXJ1"	0	2	2	3
"RNF157-AS1"	3	2	5	5
"RNF157"	2	4	3	9
"UBALD2"	773	657	728	1236
"QRICH2"	5	6	14	22
"PRPSAP1"	736	379	662	1159
"SPHK1"	478	411	945	651
"UBE2O"	136	71	73	199
"AANAT"	1	1	1	0
"RHBDF2"	80	58	59	192
"CYGB"	9	16	24	25
"PRCD"	2	2	0	3
"AC015802.4"	5	7	1	5
"AC015802.3"	0	0	3	0
"SNHG16"	1692	1891	2566	3143
"AC015802.6"	44	42	74	82
"ST6GALNAC2"	22	22	15	46
"ST6GALNAC1"	37	33	57	102
"AC005837.1"	26	14	13	20
"MXRA7"	2226	1037	1332	2454
"AC005837.4"	8	2	4	2
"JMJD6"	564	290	251	417
"METTL23"	660	433	412	1047
"SRSF2"	5123	3028	3627	8728
"MFSD11"	519	254	299	775
"MGAT5B"	21	13	8	14
"AC016168.2"	2	0	0	0
"SNHG20"	173	76	164	246
"SEC14L1"	380	444	454	674
"SEPTIN9-DT"	4	5	5	3
"SEPTIN9"	410	401	503	952
"AC111182.1"	2	2	0	3
"AC111170.1"	0	0	0	0
"AC021683.3"	0	0	0	1
"AC021683.2"	1	0	0	0
"AC021683.5"	3	0	0	0
"TNRC6C"	179	132	281	307
"TNRC6C-AS1"	7	11	16	32
"TMC6"	278	143	234	472
"TMC8"	103	40	58	84
"C17orf99"	12	4	10	11
"SYNGR2"	1519	724	1135	1871
"TK1"	265	109	126	474
"AFMID"	244	238	392	588
"BIRC5"	265	135	161	470
"LINC01993"	3	2	4	8
"AC087645.2"	9	5	4	12
"SOCS3"	748	978	811	3414
"AC061992.2"	7	1	3	1
"PGS1"	168	71	88	279
"DNAH17"	0	3	1	3
"DNAH17-AS1"	1	0	0	0
"SCAT1"	1	0	3	0
"CYTH1"	243	178	290	357
"USP36"	296	225	253	497
"AC022966.2"	9	2	6	14
"TIMP2"	165	103	94	144
"AC022966.1"	1	0	0	0
"CEP295NL"	1	0	1	2
"AC100788.1"	1	10	8	15
"LGALS3BP"	970	689	1126	2558
"CANT1"	138	81	130	248
"C1QTNF1-AS1"	1	2	0	2
"C1QTNF1"	21	15	22	37
"ENGASE"	124	41	39	151
"RBFOX3"	0	0	1	0
"CBX2"	20	6	11	26
"CBX8"	68	28	28	87
"AC100791.2"	0	0	0	0
"CBX4"	194	178	326	508
"LINC01978"	0	0	1	1
"TBC1D16"	25	25	17	49
"AC100791.3"	1	2	1	1
"AC116025.1"	0	0	0	0
"CCDC40"	7	3	5	21
"GAA"	385	172	257	541
"EIF4A3"	1917	1648	1853	2668
"AC087741.2"	7	3	3	4
"CARD14"	17	5	12	39
"AC087741.1"	52	18	13	51
"SGSH"	78	35	62	150
"SLC26A11"	220	83	64	229
"RNF213"	375	171	278	891
"AC124319.1"	50	9	15	74
"RNF213-AS1"	9	6	10	42
"ENDOV"	244	127	140	366
"AC120024.1"	1	1	0	2
"NPTX1"	29	1	5	4
"RPTOR"	70	44	32	136
"AC016245.1"	1	0	0	0
"AC016245.2"	4	0	3	9
"AC127496.1"	1	0	0	2
"CHMP6"	157	48	79	279
"AC127496.5"	7	31	5	26
"BAIAP2-DT"	15	7	30	49
"BAIAP2"	1111	905	1400	2527
"AATK"	66	82	69	144
"CEP131"	87	34	49	107
"TEPSIN"	98	38	63	178
"NDUFAF8"	1547	1144	967	2553
"SLC38A10"	255	150	162	622
"AC027601.4"	0	0	0	1
"LINC00482"	5	2	1	3
